"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"650","Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Exceptions will be made to the provisions of the Working Hours Act and the Annual Holidays Act."
"653","Social distancing","Mass gathering cancellation","Cultural events","Theatres, cinemas, concerts, etc., until 13th April"
"654","Social distancing","Mass gathering cancellation","Indoor activities","fitness gym, music classes-, until 13th April"
"655","Social distancing","Mass gathering cancellation","Rehabilitative work facilities","until 13th April"
"659","Travel restriction","Outgoing oversea travel ban","",""
"661","Healthcare and public health capacity","Research","Clinical trials on COVID-19","5 million euros"
"663","Social distancing","Small gathering cancellation","Limit up to 10 persons","Until 13th April"
"664","Travel restriction","Cordon sanitaire","One region","Movements to and from the region of Uusimaa will be restricted until 19th April."
"665","Case identification, contact tracing and related measures","Quarantine","Contact persons","Those known to have been in contact with a confirmed COVID-19 case are placed in quarantine."
"666","Healthcare and public health capacity","Scale up emergency response mechanisms","Mobilize other forces","Helicopter army to evacuate sick patients from Corsica to metropolitan France"
"667","Social distancing","Closure of educational institutions","Partial closure of educational institutions","3 schools"
"671","Healthcare and public health capacity","Activate emergency response mechanisms","",""
"677","Social distancing","Closure of non-essential shops","",""
"678","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","300 milliard Euros"
"679","Travel restriction","Denial entry to boats with more than 100 passengers","Cruise ships",""
"680","Risk communication","Educate and actively communicate with the public","Answer to questions","Communcation with nationales living in China"
"681","Risk communication","Educate and actively communicate with the public","Activate communication to the public","Posters at railway stations"
"682","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","Radio and TV"
"683","Risk communication","Educate and actively communicate with the public","Information at airports","Flyers and posters at airports"
"685","Risk communication","Educate and actively communicate with the public","Scale up communication to the public","Broadcasting of radio and television prevention spots"
"686","Risk communication","Actively communicate with healthcare professionals","Provide documentation","Provide documentation"
"687","Healthcare and public health capacity","Enhance emergency response mechanisms","",""
"689","Healthcare and public health capacity","Increase availability of PPE","Face masks","FFP2 masks"
"692","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Attestation on the honor of the person or the employer required"
"694","Healthcare and public health capacity","Enhance laboratory testing","Decrease time between test and result","Development of a rapid diagnostic test enabling a result to be given in a few hours."
"699","Social distancing","Measures for special populations","Measures to limit contact to the elderly",""
"706","Social distancing","Return operation of nationals living in regions at risk","Spain","Quarantine"
"707","Healthcare and public health capacity","Scale up emergency response mechanisms","Stage 2 of the plan for the prevention and management of the health crisis",""
"708","Healthcare and public health capacity","Scale up emergency response mechanisms","Stage 3 of the plan for the prevention and management of the health crisis",""
"710","Resource allocation","Fixing price for specific protective products","Hand sanitizers","Publication of the decree governing the sale prices of hydro-alcoholic gel"
"711","Social distancing","Mass gathering cancellation","Closure of non-essential public places",""
"714","Case identification, contact tracing and related measures","Specific health channel for travellers","From China",""
"715","Case identification, contact tracing and related measures","Specific health channel for travellers","From high-risk areas other than China","Hong Kong and Macao"
"716","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Closure of French coasts"
"717","Healthcare and public health capacity","Increase healthcare workforce","Protect healthcare professionals","Priority distribution of masks to healthcare professionals and medico-social workers"
"718","Social distancing","Mass gathering cancellation","Elections canceled","2nd turn of municipal elections canceled"
"719","Social distancing","Mass gathering cancellation","Open-air markets closed","Open-air markets closed"
"720","Travel restriction","Individual movement restrictions","buffer 1km around home",""
"721","Healthcare and public health capacity","Increase patient capacity","Postponement of medical appointments","Medical appointments restricted to special notice from doctors, or strict emergencies"
"723","Travel restriction","Individual movement restrictions","Ban on sports activities between 10am-7pm",""
"724","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China",""
"729","Social distancing","Mass gathering cancellation","Complete prohibition of gathering","Groups of more than 3 people are not allowed to gather"
"736","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","All persons involved in school life (i.e. pupils, teachers and non-teaching staff)"
"738","Social distancing","Mass gathering cancellation","Closure of non-essential public places","libraries, Children playgrounds, leisure places, brothel, tourist bus trips"
"740","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"741","Social distancing","Small gathering cancellation","Limit up to 2 persons","Limit up to 2 persons of different households"
"742","Social distancing","Small gathering cancellation","Limit up to 5 persons","Limit up to 5 persons of different households"
"744","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare emergency state","Katastrophenfall"
"745","Healthcare and public health capacity","Increase patient capacity","",""
"746","Travel restriction","Border restriction","Border control","Austrian border"
"749","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Temporary crisis-related improvement of the regulations for short-time benefits"
"752","Resource allocation","Crisis management plans","Traffic enactments","Suspended driving ban on Sunday for all trucks with goods"
"754","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Vaccination against pneumococci"
"758","Social distancing","Mass gathering cancellation","Complete prohibition of gathering",""
"760","Social distancing","Mass gathering cancellation","Limit up to 75 persons","The government of the state asks the communities to implement this measure"
"763","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Recommendation to reduce contact to long-term care facilities"
"764","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","access to school, kindergarten, and other facilities for children"
"766","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Zoos, sports facilities und children playgrounds."
"769","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Restaurants - Partial"
"773","Resource allocation","Crisis management plans","Implement repurpose community services plans","Prison sentences were or will be suspended in the course of March and these prisoners will be released little by little in order to reduce the risk of infection and to concentrate medical resources in the prison system"
"777","Healthcare and public health capacity","Reduce the burden on health system","Simplification of the health journey","For suspected cases"
"785","Healthcare and public health capacity","Activate notification of cases","Covid-19 as a notifiable disease","Infection Protection Act"
"786","Risk communication","Actively communicate with stakeholders","Postpone mass gathering","Limit up to 1000"
"787","Risk communication","Actively communicate with stakeholders","Risk assessment for mass gatherings advised by Robert Koch Institute",""
"789","Case identification, contact tracing and related measures","Airport health check","",""
"790","Case identification, contact tracing and related measures","Airport health check","Travellers from China: Questionnaire",""
"792","Case identification, contact tracing and related measures","Airport health check","Extension of the measure","Extention of the measure from 12/2/2020 to travelers from Iran, Italy, South Korea and Japan"
"793","Case identification, contact tracing and related measures","Border health check","Test at the border","Asylum seekers"
"794","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","France, Switzerland, Austria, Luxemburg"
"795","Travel restriction","Border restriction","Borders closed to refugees","For an indefinite period"
"796","Travel restriction","Border restriction","Maritime, Airport borders","closed for non-citizens, transiting allowed for persons with residence in EU"
"797","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of kindergartens, other childcare facilities, and schools"
"800","Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Press conference with federal minister of health and group of experts"
"801","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Vaccination against influenza"
"802","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","press conference"
"808","Risk communication","Educate and actively communicate with the public","Scale up communication to the public",""
"809","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Advice against traveling to Italy and Nordrhein-Westfalen (Germany)"
"811","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","vulnerable population"
"812","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","incoming from Italy, Austria or Switzerland"
"814","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","Establishment of a crisis team between the Ministry of Interior and the Ministry of Health was announced"
"815","Healthcare and public health capacity","Enhance hand hygiene","Approval of new hand disinfectant","Approval of 2-propanol- containing products for hand disinfection (Federal Institute for Occupational Safety and Health )"
"817","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment","Ordinance BAnz AT 04.03.2020 B1"
"820","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","people that returned within the last 14 days from high-risk areas"
"822","Social distancing","Mass gathering cancellation","Cultural events","cinemas"
"823","Travel restriction","Border restriction","Border closed","France , Austria , Luxembourg , Switzerland, Denmark"
"824","Case identification, contact tracing and related measures","Quarantine","Contact persons","The 100 people who were brought back from Wuhan are quarantined for two weeks"
"826","Healthcare and public health capacity","Reduce the burden on health system","Promote self-initiated isolation of people with mild respiratory symptoms","Speech of the president of the RKI Lothar Wieler"
"827","Social distancing","Return operation of nationals living abroad","",""
"829","Resource allocation","Emergency laws","Law to ease the passing of laws","Epidemic emergency of national scope, ordinance authorizations"
"830","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Call to reservists"
"832","Social distancing","Mass gathering cancellation","Closure of non-essential public places","barbershop, beauty studios, massage practice, etc"
"833","Social distancing","Small gathering cancellation","Limit up to 2 persons","Limit up to 3 persons of different households"
"834","Social distancing","Small gathering cancellation","Small gathering cancellation","Closure of restaurants/bars/cafes"
"835","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","People traveling from China, South Korea, Japan, Iran or Italy by plane should inform the authorities of their whereabouts and how to contact them"
"836","Risk communication","Travel alert","Worldwide travel warning",""
"838","Resource allocation","Crisis management plans","Implement repurpose community services plans","prisoners in Hamburg released to make room for isolation of infected inmates"
"845","Social distancing","Small gathering cancellation","Limit up to 6 persons",""
"849","Social distancing","Small gathering cancellation","Limit up to 20 persons","Family celebrations only"
"850","Social distancing","Small gathering cancellation","Remote Psychotherapy Consultation",""
"854","Risk communication","Actively communicate with stakeholders","Promote hygiene measures and social distancing","restaurants, hotels, libraries"
"860","Resource allocation","Crisis management plans","Implement repurpose community services plans","state supports childcare if parents are doing essential work (medical staff, essential administrative staff)"
"861","Resource allocation","Crisis management plans","Financial aid for health system",""
"862","Healthcare and public health capacity","Enhance emergency response mechanisms","Set up crisis units","regional"
"868","Social distancing","Mass gathering cancellation","",""
"870","Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"871","Social distancing","Public transport","Reduce service",""
"873","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Children playgrounds"
"875","Social distancing","Small gathering cancellation","Closure of short-term accomodation",""
"901","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from China","Thermometer using infrared thermometers"
"902","Risk communication","Educate and actively communicate with the public","Activate communication to the public","airport, railway stations, harbours (poster, flyers) radio, social media, governmential homepages "
"908","Risk communication","Educate and actively communicate with the public","Promote health check if respiratory symptoms","Seek medical attention promptly if you are feeling unwell."
"910","Risk communication","Educate and actively communicate with the public","Encourage to not shake hands",""
"912","Case identification, contact tracing and related measures","Tracing and monitoring","Cases","questionnaire"
"914","Social distancing","Mass gathering cancellation","Festivals, faith-based events","carnival parties cancelled"
"919","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","Israel"
"920","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","Italy"
"922","Social distancing","Closure of educational institutions","Complete closure of educational institutions","local/regional areas affected by the ""Isreal-return-cases"""
"923","Social distancing","Mass gathering cancellation","Sport events","visitors excluded"
"931","Travel restriction","Travel restriction to high-risk areas","Italy",""
"932","Social distancing","Mass gathering cancellation","Outdoor activities","Closure of ski resorts and organized beaches"
"934","Travel restriction","Cordon sanitaire","2 villages",""
"936","Travel restriction","Border restriction","Borders closed for travellers but open for food supply","Albania + North Macendonia"
"937","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","to/from Italy, Spain"
"938","Travel restriction","Denial entry to boats with more than 100 passengers","All","from Italy + Spain, and all crusing ships"
"940","Social distancing","Small gathering cancellation","Police and army control and sanctions","assembly ban for more than 10P, 1000 Euro penalty"
"942","Healthcare and public health capacity","Increase healthcare workforce","In the refugee camps",""
"943","Case identification, contact tracing and related measures","Border health check","Measure temperature","compulsory temperature checking"
"944","Travel restriction","Cordon sanitaire","One city",""
"949","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Traffic ban (police sanction)"
"950","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","UK, Turkey"
"960","Social distancing","Public transport","",""
"962","Travel restriction","Cordon sanitaire","2 neighborhoods","Epidemiological fence set up"
"966","Healthcare and public health capacity","Increase in medical supplies and equipment","Respirators, phlegm suctioning devices","For treatment of cases"
"970","Resource allocation","The government provides food assistance","",""
"971","Travel restriction","Airports closing for all international flights","",""
"974","Travel restriction","Cancellation of international flights","Partial",""
"975","Resource allocation","Fixing price for specific protective products","",""
"976","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Extension"
"977","Travel restriction","Individual movement restrictions","Segmenting of population",""
"978","Travel restriction","Individual movement restrictions","Curfew","extension of a total curfew"
"979","Travel restriction","Individual movement restrictions","Segmenting of population","extension"
"985","Risk communication","Actively communicate with stakeholders","Daily press conference",""
"986","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from Hubei",""
"987","Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","All incomings"
"988","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","from Wuhan"
"991","Case identification, contact tracing and related measures","Airport health check","Quarantine all incoming people with fever",""
"992","Travel restriction","Airport restriction","Denial entry of travellers from Wuhan","Hubei"
"993","Travel restriction","Airport restriction","Denial entry of travellers from high risk areas other than China","South Korea"
"994","Case identification, contact tracing and related measures","Border health check","Measure temperature","Travellers from Wuhan"
"995","Case identification, contact tracing and related measures","Border health check","Test at the border",""
"996","Case identification, contact tracing and related measures","Border health check","Health certificate requested","Specify country/countries or ""undefined"""
"997","Case identification, contact tracing and related measures","Border health check","Health declaration",""
"1006","Travel restriction","Cordon sanitaire","More than one region",""
"1007","Resource allocation","Crisis management plans","Implement repurpose community services plans",""
"1008","Resource allocation","Crisis management plans","Implement repurpose government plans",""
"1010","Travel restriction","Denial entry to boats with more than 100 passengers","other than taiwan and china",""
"1011","Risk communication","Educate and actively communicate with the public","Activate communication to the public","facebook? youtube"
"1021","Healthcare and public health capacity","Increase patient capacity","Quarantine center","Lady MacLehose Holiday Village in Sai Kung designed as a quarantine centre"
"1022","Healthcare and public health capacity","Increase patient capacity","Isolation wards","Increase number of beds"
"1023","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase production"
"1024","Healthcare and public health capacity","Increase availability of PPE","PPE for healthcare professionals","import"
"1025","Healthcare and public health capacity","Increase healthcare workforce","Recommend medical staffs come back to their position",""
"1029","Healthcare and public health capacity","Enhance laboratory testing","Decrease time bewteen test and result",""
"1030","Environmental measures","Environmental cleaning and disinfection","Train connect mainland China to Hongkong",""
"1032","Case identification, contact tracing and related measures","Isolation of cases","Wuhan import",""
"1035","Social distancing","Mass gathering cancellation","(unspecified)",""
"1046","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Provide assistance to the elderly who stay at home"
"1048","Case identification, contact tracing and related measures","Quarantine","Contact persons","Contacts"
"1049","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Wuhan"
"1050","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China other than hubei, extend to other countries on 3/10"
"1052","Social distancing","Recommendation for home office","",""
"1062","Case identification, contact tracing and related measures","Surveillance","Implement sentinel study",""
"1064","Case identification, contact tracing and related measures","Surveillance","Use existing respiratory disease surveillance systems and hospital-based surveillance",""
"1065","Case identification, contact tracing and related measures","Surveillance","Implement existing respiratory disease surveillance systems and hospital-based surveillance",""
"1066","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","last 14 days had been to Wuhan"
"1067","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","All travelers from mainland China"
"1068","Case identification, contact tracing and related measures","Tracing and monitoring","Nationals who travelled to at risk areas","south korea"
"1070","Travel restriction","Train transport restrictions","Close down train service and visitors from high risk place",""
"1071","Travel restriction","Travel restriction to high-risk areas","",""
"1072","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Emilia-Romagna, Lombardy, or Veneto (Italy) and Iran"
"1073","Environmental measures","Environmental cleaning and disinfection","Spa baths",""
"1074","Environmental measures","Environmental cleaning and disinfection","Public transport","More frequent disinfection"
"1075","Social distancing","Public transport","Specific measures to avoid congestion","Access through all doors"
"1076","Social distancing","Measures for special populations","Vulnerable populations","Provide assistance to homeless people"
"1077","Social distancing","Mass gathering cancellation","Cultural events","Theatres, cinemas, concerts, and museums"
"1078","Social distancing","Work safety protocols","In state institutions","City hall"
"1079","Risk communication","Educate and actively communicate with the public","Recommendation for home office","advice by the mayor of Budapest"
"1080","Social distancing","Special measures for certain establishments","City hall","customer service restricted to online customer portal, e-mail, or post"
"1081","Social distancing","Mass gathering cancellation","Closure of non-essential public places","baths, zoo"
"1082","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","bus/tram drivers"
"1085","Social distancing","Mass gathering cancellation","Closure of non-essential public places","children playgrounds"
"1086","Risk communication","Educate and actively communicate with the public","Activate communication to the public","public transport, billboards at stations, posters"
"1087","Social distancing","Special measures for certain establishments","Public utility companies","customer service restricted to online and telephone calls"
"1088","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","social media, telephone calls, posters, voice message on the phone from the mayor "
"1089","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","rent discount to small and medium-sized enterprises (SME) who are the tenants of the Municipality of Budapest"
"1092","Healthcare and public health capacity","Reduce the burden on health system","Promote self-initiated isolation of people with mild respiratory symptoms","Call doctor"
"1095","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","especially toward elderly and vulnerable"
"1097","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","elderly"
"1098","Risk communication","Use of public transport","Discourage use of public transport","price of city bike rental decreased"
"1100","Risk communication","Educate and actively communicate with the public","Recommendation for cashless operations","Recommendation to purchase a public transport ticket via smartphone app"
"1101","Risk communication","Educate and actively communicate with the public","Encourage donation for covid19 crisis","Blood donations"
"1102","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","official website with COVID-19 information"
"1103","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","when standing in line or shopping"
"1104","Resource allocation","Crisis management plans","",""
"1105","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Provide PPE"
"1106","Risk communication","Educate and actively communicate with the public","Recommendation for cashless operations","Payment with touch credit card"
"1107","Social distancing","Implement the 2m distance","Stickers on the floor of supermarkets",""
"1108","Social distancing","Public transport","Reduce service","Reduced as much as congestion can be avoided"
"1109","Healthcare and public health capacity","Increase healthcare workforce","Ease transport of health workers",""
"1110","Risk communication","Educate and actively communicate with the public","Activate communication to the public","airport posters"
"1111","Healthcare and public health capacity","Enhance hand hygiene","Hand sanitizers in public spaces","Airports"
"1113","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase production of masks"
"1114","Social distancing","Return operation of nationals living in Hubei","Quarantine","Transported home via France"
"1116","Risk communication","Educate and actively communicate with the public","Answer to questions","provide telephone hotlines covid-19"
"1117","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","North Italy"
"1118","Travel restriction","Border restriction","Borders closed to refugees","The admission of immigrants is suspended indefinitely."
"1120","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","social media"
"1121","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","Visas are no longer issued for Iranian citizens"
"1123","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from high-risk areas other than China","Northern Italy"
"1124","Healthcare and public health capacity","Repurpose hospitals","Some hospitals dedicated to covid19 patients","South Pest Central Hospital is freed"
"1125","Social distancing","Mass gathering cancellation","Festivals, faith-based events","one festival"
"1128","Travel restriction","Cancellation of international flights","Partial","with China"
"1129","Risk communication","Educate and actively communicate with the public","Measures for special populations","Measures to limit contact to the elderly"
"1130","Risk communication","Educate and actively communicate with the public","Recommendation to reduce contact to hospital patients",""
"1131","Travel restriction","Airports closing for all international flights","from Northern Italy and Israel",""
"1132","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","Iranian citizens"
"1134","Healthcare and public health capacity","Enhance emergency response mechanisms","State of national crisis",""
"1135","Healthcare and public health capacity","Measures for blood donation","Persons who travelled abroad are excluded from blood donation","persons that traveled abroad after February 5th 2020 are excluded from blood donations for 30 days"
"1136","Case identification, contact tracing and related measures","Border health check","Quarantine facility for suspected cases, otherwise home quarantine",""
"1137","Healthcare and public health capacity","Increase healthcare workforce","Travel ban for healthcare professionals",""
"1138","Social distancing","Closure of educational institutions","Reduction of excursions, out-of-house events","trips abroad suspended"
"1140","Social distancing","Mass gathering cancellation","Limit up to 100 persons","indoors"
"1141","Social distancing","Mass gathering cancellation","Limit up to 500 persons","outdoors"
"1142","Travel restriction","Border restriction","Border control","with Slovenia and Austria"
"1143","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","Italy, South Korea and Iran."
"1144","Travel restriction","Border restriction","Borders closed for people with travel history to China",""
"1145","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","from Italy, South Korea, Iran"
"1146","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","from Israel"
"1147","Travel restriction","Border restriction","Border controls","Austria and Slovenia"
"1148","Case identification, contact tracing and related measures","Quarantine","Scale up the system","Police intervention if quarantine not restected"
"1149","Healthcare and public health capacity","Research","Vaccine and antiviral development","working team is set up"
"1151","Risk communication","Educate and actively communicate with the public","Advice for special populations","Elderly"
"1153","Resource allocation","Crisis management plans","Implement repurpose government plans","methodology for school digitalization"
"1156","Travel restriction","Border restriction","Border closed","All foreigners"
"1157","Social distancing","Small gathering cancellation","All",""
"1158","Social distancing","Mass gathering cancellation","Limit up to 500 persons","Outdoor activities"
"1160","Social distancing","Mass gathering cancellation","Limit up to 100 persons","Indoor activities"
"1165","Social distancing","Special measures for certain establishments","Post","Measures to protect post offciers and customers"
"1166","Social distancing","Mass gathering cancellation","Closure of non-essential public places","nightclubs, pubs, entertainment places"
"1167","Travel restriction","Border restriction","Borders closed to all non-citizens","only Hungarian citizens and foreign citizens arriving from the countries of the European Economic Area (EU member states, Switzerland and Norway) who are entitled to permanent residence, and attest this right with a permanent residence card, can enter Hungary."
"1168","Social distancing","Measures for special populations","Social institutions","Ban visit"
"1169","Case identification, contact tracing and related measures","Quarantine","Suspected cases","warning notice should be place on the front door of home"
"1170","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Garbage collectors"
"1171","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","debt payment postponed"
"1172","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support economy"
"1173","Risk communication","Educate and actively communicate with the public","Measures for special populations","Campaign for protecting the elderly"
"1174","Healthcare and public health capacity","Increase availability of PPE","Masks, protective suits",""
"1175","Social distancing","Public transport","Cashless payments",""
"1176","Healthcare and public health capacity","Enhance laboratory testing","Increase testing capacity (number tests)","Purchase of test kits from China"
"1177","Healthcare and public health capacity","Increase in medical supplies and equipment","Ventilators","Purchase from China"
"1178","Healthcare and public health capacity","Increase availability of PPE","Masks, protective suits, gloves","Imported from China"
"1179","Healthcare and public health capacity","Increase in medical supplies and equipment","Ventilators","Imported from China"
"1180","Risk communication","Educate and actively communicate with the public","Coronavirus Information Bulletin","Romani and sign language"
"1181","Healthcare and public health capacity","Increase in medical supplies and equipment","Ban on exportation of medical equipment and drugs","antibiotics and narcotic analgesics and hypnotics"
"1182","Social distancing","Measure for cashless payments","Increase amount of touch card purchases allowed",""
"1183","Healthcare and public health capacity","Increase patient capacity","Emergency hospitals","triage tent build in hospital courtyard"
"1184","Healthcare and public health capacity","Increase in medical supplies and equipment","Ban on exportation of medical equipment and drugs","Drug hydroxychloroquine sulfate"
"1185","Healthcare and public health capacity","Enhance hand hygiene","Approval of new hand disinfectant","Produced by MOL"
"1186","Returning to normal life","Re-open land border","With Romania","For workers"
"1187","Case identification, contact tracing and related measures","Airport health check","Health screening","all incoming Hungarians"
"1188","Resource allocation","Receive international help","",""
"1189","Social distancing","Return operation of nationals living in regions at risk
","Israel",""
"1190","Healthcare and public health capacity","Increase availability of PPE","PPE",""
"1191","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","1.5 m between persons of different households"
"1193","Social distancing","Special measures for certain establishments","Food services","only take-away or delivery"
"1194","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","movement for work and basic needs allowed"
"1195","Travel restriction","Individual movement restrictions","Segmenting of population","Special hours for going out for the elderly"
"1196","Healthcare and public health capacity","Increase healthcare workforce","Ease transport of health workers","Healthcare workers can travel for free on interurban public transpor"
"1197","Resource allocation","Mobilize army and police to support application of laws related to covid-19 control","For compliamce with curfew",""
"1198","Risk communication","Actively communicate with healthcare professionals","Provide documentation","Guidelines"
"1199","Healthcare and public health capacity","Increase availability of PPE","Increased number of PPE (masks)",""
"1202","Case identification, contact tracing and related measures","Airport health check","Measure temperature for all passengers","all incoming passengers"
"1203","Social distancing","Measure for cashless payments","Increase number of goods that can be bought by card contactless and without pin code",""
"1204","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Post officers"
"1205","Resource allocation","Provide international help","Donate PPE to North Macedonia",""
"1207","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Social workers in nursing homes"
"1208","Social distancing","Special measures for certain establishments","Residential social institutions",""
"1210","Healthcare and public health capacity","Increase availability of PPE","Face masks, protective clothing","Purchase from China"
"1212","Healthcare and public health capacity","Increase availability of PPE","Gloves, face masks",""
"1213","Healthcare and public health capacity","Increase in medical supplies and equipment","Devices for ventilators",""
"1214","Returning to normal life","Re-open land border","One crossing with Austria","Already 9 point of crossing exist, this is the 10th"
"1215","Environmental measures","Environmental cleaning and disinfection","Nursing homes","By the army"
"1216","Returning to normal life","Re-open land border","3 crossings with Serbia",""
"1217","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","tax relief measures"
"1218","Returning to normal life","Re-open land border","1 crossing with Slovakia",""
"1219","Returning to normal life","Re-open land border","with Austria",""
"1223","Case identification, contact tracing and related measures","Airport health check","Health screening",""
"1224","Healthcare and public health capacity","Activate emergency response mechanisms","Coronary Virus Uncertainty Level",""
"1225","Case identification, contact tracing and related measures","Enhance detection system","Research and test of suspected cases","Targeted testing"
"1226","Risk communication","Educate and actively communicate with the public","Guidance for frontline service staff",""
"1228","Risk communication","Educate and actively communicate with the public","Health alert notice to international travellers",""
"1229","Healthcare and public health capacity","Enhance emergency response mechanisms","Declare alert phase",""
"1230","Risk communication","Actively communicate with healthcare professionals","Encourage healthcare workwers to avoid travel",""
"1231","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Travellers from Italy"
"1232","Healthcare and public health capacity","Enhance emergency response mechanisms","Emergency phase",""
"1234","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Austria:All ski areas - Switzerland: All ski areas - Germany: Southern Bavarian Ski Area - France: Provence-Alpes-Côte d'Azur - Auvergne-Rhône-Alpes - Slovenia  All ski areas"
"1237","Case identification, contact tracing and related measures","Surveillance","Implement sentinel study","Random testing of population"
"1239","Risk communication","Travel alert","Raised for 3 countries","Spain, Germany and France"
"1240","Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas","Spain and France"
"1241","Case identification, contact tracing and related measures","Quarantine","Nationals coming from high-risk areas","Germany"
"1244","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Closure of junior colleges"
"1246","Social distancing","Closure of educational institutions","Partial closure of educational institutions","Partial closure of primary schools and pre schools"
"1247","Social distancing","Mass gathering cancellation","Limit up to 100 persons","indoor"
"1249","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Special shopping time for the elderly"
"1250","Travel restriction","Border restriction","Borders closed for people from high-risk areas other than China","Tourists from countries outside of the EEA and EFTA"
"1252","Risk communication","Actively communicate with stakeholders","Guidelines","To implement social distancing (schools, events)"
"1254","Travel restriction","Border restriction","Borders closed","All foreign nationals with immigration status in Iceland or another Schengen State, or those who have family members in the same countries, are allowed to enter Iceland."
