"Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","In shops, buisinesses, and public institutions"
"Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","In supermarkets"
"Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","In taxi"
"Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","In taxis and Uber"
"Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","Symptomatic persons and health facility visitors"
"Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","Workers in the agri-food sector"
"Healthcare and public health capacity","Personal protective measures","Mandatory use of PPE","In hospitals and nursing homes"
"Healthcare and public health capacity","Personal protective measures","Mandatory use of PPE","In markets"
"Healthcare and public health capacity","Personal protective measures","Mandatory use of PPE","In public and semi-public spaces"
"Healthcare and public health capacity","Personal protective measures","Mandatory use of PPE","In public transports"
"Healthcare and public health capacity","Personal protective measures","Prevent contamination by body fluids","Ban on the export and import of corpses other than cremated"
"Healthcare and public health capacity","Personal protective measures","Prevent contamination by body fluids","Compulsory cremation"
"Healthcare and public health capacity","Personal protective measures","Prevent contamination by body fluids","Guidelines on dead body management"
"Healthcare and public health capacity","Personal protective measures","Prevent contamination by body fluids","Persons who travelled abroad are excluded from blood donation"
"Healthcare and public health capacity","Personal protective measures","Prevent contamination by body fluids","Training on dead body management"
"Healthcare and public health capacity","Repurpose hospitals","Dialyse center converted in hospital",""
"Healthcare and public health capacity","Repurpose hospitals","Requisition private hospitals",""
"Healthcare and public health capacity","Repurpose hospitals","Small hospitals used to reduce burden on hospitals dealing with covid-19 patients",""
"Healthcare and public health capacity","Repurpose hospitals","Some hospitals dedicated to covid19 patients",""
"Healthcare and public health capacity","Repurpose hospitals","Some hospitals dedicated to covid19 patients","South Pest Central Hospital is freed"
"Healthcare and public health capacity","Repurpose hospitals","Special section for covid19 patients",""
"Healthcare and public health capacity","Repurpose hospitals","Special section for covid19 patients","Severe cases"
"Healthcare and public health capacity","Research","Clinical trials on COVID-19",""
"Healthcare and public health capacity","Research","Clinical trials on COVID-19","anti-influenza medication, Avigan (Favipiravir)"
"Healthcare and public health capacity","Research","Clinical trials on COVID-19","Clinical trial on preventive treatment in the frontline worker population"
"Healthcare and public health capacity","Research","Clinical trials on COVID-19","FDA approval for study"
"Healthcare and public health capacity","Research","Clinical trials on COVID-19","Ministry of Health approval"
"Healthcare and public health capacity","Research","Clinical trials on COVID-19","Trials on COVID-19 treatment"
"Healthcare and public health capacity","Research","Funding allocated to research",""
"Healthcare and public health capacity","Research","Funding allocated to research","Focus on implementing measures to detect, manage, and reduce the transmission of the virus"
"Healthcare and public health capacity","Research","Funding allocated to research","Quick diagnostic test"
"Healthcare and public health capacity","Research","Funding allocated to research","Simple diagnostic kits, antiviral drugs, vaccines"
"Healthcare and public health capacity","Research","Funding allocated to research","Vaccine and antiviral development"
"Healthcare and public health capacity","Research","Funding allocated to research","Vaccine development"
"Healthcare and public health capacity","Research","Funding of a diagnostic test project",""
"Healthcare and public health capacity","Research","Simplify clinical trials regulations","Any emergency medical treatment protocol development or modification can occur solely with the approval of the Commissioner of Health"
"Healthcare and public health capacity","Research","Simplify clinical trials regulations","Faster licensing procedure"
"Healthcare and public health capacity","Research","Vaccine trials on COVID-19",""
"Resource allocation","Activate or establish emergency response","Declare state of emergency",""
"Resource allocation","Activate or establish emergency response","Declare state of emergency","7 prefectures"
"Resource allocation","Activate or establish emergency response","Declare state of emergency","Declare emergency state: Major Disaster"
"Resource allocation","Activate or establish emergency response","Declare state of emergency","Declare extreme emergency state"
"Resource allocation","Activate or establish emergency response","Declare state of emergency","Emergency period for 91 days."
"Resource allocation","Activate or establish emergency response","Declare state of emergency","Emergency phase"
"Resource allocation","Activate or establish emergency response","Declare state of emergency","Health emergency"
"Resource allocation","Activate or establish emergency response","Declare state of emergency","Level 2 (of 3)"
"Resource allocation","Activate or establish emergency response","Declare state of emergency","National"
"Resource allocation","Activate or establish emergency response","Declare state of emergency","Public calamity situation"
"Resource allocation","Activate or establish emergency response","Declare state of emergency","State of emergency declared"
"Resource allocation","Activate or establish emergency response","Declare state of emergency","State of epidemic emergency"
"Resource allocation","Activate or establish emergency response","Declare state of emergency","Statewide"
"Resource allocation","Activate or establish emergency response","Emergency laws","Emergency authorization of drugs for treatment of COVID-19"
"Resource allocation","Activate or establish emergency response","Emergency laws","Law to ease the passing of laws"
"Resource allocation","Activate or establish emergency response","Exceptional change to work law","Ease restrictions for child labor"
"Resource allocation","Activate or establish emergency response","Exceptional change to work law","Facilitate  temporary hiring of workers in a fundamental sectors"
"Resource allocation","Activate or establish emergency response","Exceptional change to work law","Facilitate work of immigrants"
"Resource allocation","Activate or establish emergency response","Relaxation of data protection law","Data on ethnicity of Covid-19 patients"
"Resource allocation","Activate or establish emergency response","Relaxation of data protection law","Emergency workers can access information about addresses of people tested positive to Covid-19"
"Resource allocation","Activate or establish emergency response","Relaxation of data protection law","Enable access to confidential patient information"
"Resource allocation","Activate or establish emergency response","Relaxation of data protection law","Government transmits data on passengers entering the country"
"Resource allocation","Activate or establish emergency response","Repurpose domestic forces","Reduce need of repurposed forces for other purposes than Covid-19"
"Resource allocation","Activate or establish emergency response","Risk management plan","Contingency plan"
"Resource allocation","Activate or establish emergency response","Risk management plan","Country-wide alert level system"
"Resource allocation","Activate or establish emergency response","Risk management plan","Emergency plan"
"Resource allocation","Activate or establish emergency response","Risk management plan","Highest level of alert"
"Resource allocation","Activate or establish emergency response","Risk management plan","Nationwide guidelines"
"Resource allocation","Activate or establish emergency response","Risk management plan","New task force"
"Resource allocation","Activate or establish emergency response","Risk management plan","Raised emergency level"
"Resource allocation","Activate or establish emergency response","Risk management plan","Raised emergency level to 2 of 3"
"Resource allocation","Activate or establish emergency response","Risk management plan","Raised emergency level to 3 of 3"
"Resource allocation","Activate or establish emergency response","Risk management plan","Raised to alert level 3"
"Resource allocation","Activate or establish emergency response","Risk management plan","Raised to alert level 4"
"Resource allocation","Activate or establish emergency response","Risk management plan","Scientific task force"
"Resource allocation","Activate or establish emergency response","Risk management plan","Set up crisis unit (national)"
"Resource allocation","Activate or establish emergency response","Risk management plan","Set up crisis unit (regional)"
"Resource allocation","Activate or establish emergency response","Risk management plan","Update preparedness plan"
"Resource allocation","Activate or establish emergency response","Suspension of the requirement for nutrient management plan","Disposal of unused milk"
"Resource allocation","Activate or establish emergency response","Transfer or enforcement of decisional and legal power","Greater prerogative for mayors"
"Resource allocation","Activate or establish emergency response","Transfer or enforcement of decisional and legal power","Transfer the executive power of all ministers to Prime Minister"
"Resource allocation","Crisis management plans","",""
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Allow digital decision-making for administrations"
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Allow remote notarization"
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Extension of mandate for judges"
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Flexibility for admission to universities"
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Flexibility in the emergency placement of foster youth"
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Implement remote administrative procedures"
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Obtention of marriage licenses facilitated"
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Partial or total deferral of administrative obligations"
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Provide the school administration with flexibility in light of upcoming due dates"
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Rule suspension on child safety and permanence"
"Resource allocation","Crisis management plans","Administrative procedures facilitated","Vehicle registrations extended"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans",""
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Benefits for self-employed, students, pensioners"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Compensation for wage costs"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic aid package"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic support to childcare employers"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic support to construction workers"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic support to farmers"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic support to financial sector"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic support to small and medium enterprises"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic support to the maritime sector"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic support to the media sector"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic support to the most affected workers and businesses"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Enhance digital capacity of food businesses"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Enhance digital capacity of retail companies"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Extension of administrative deadlines for enterprises"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Extension of administrative deadlines on planning and building control "
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Extension of health insurance"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate access to short-time work benefits"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate loans for companies to support for women, youth and digitalization in business"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate loans for entrepreneurs and businesses"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate loans for start-ups and small and micro companies"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Facilitate temporary suspension of work contracts to limit job loss"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Financial compensation for daycare"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Fisheries and aquaculture"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Fisheries, aquaculture and seafood processing sectors"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Funding for NGOs"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Gives banks more flexibility in granting credits"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Global economic support to workers, employers and businesses"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Guaranty payment of sick leaves during the epidemic"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Lower national bank reserve requirement to support businesses"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Partial or total deferral of insurance payments"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Partial or total deferral of tax payments for businesses"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Protection of companies with public procurement contracts"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Strengthen support for skills upgrade and in-house training"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support aviation sector"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support companies to avoid massive lay-offs"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support short-time work allowance"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to hospitality and catering services"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to independent workers"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to social services"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to textile, clothing, footwear, mining and timber industries"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to the agri-food sector"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to the agricultural and horticultural sectors"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to the education and research sector"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to the industries"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to the oil, gas and the supply industry"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to the press"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to transportation sector"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support tourism, sport and culture sectors"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Suspend evictions and foreclosures"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Suspend the tax on air passengers"
"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Suspension of payment liabilities on loans taken out by businesses"
"Resource allocation","Crisis management plans","Financial aid for health system",""
"Resource allocation","Crisis management plans","Financial aid for health system","Cancel hospital debts"
"Resource allocation","Crisis management plans","Financial aid for health system","Charter of a medical TGV "
"Resource allocation","Crisis management plans","Financial aid for health system","Develop digital guidelines software for hospitals and health care services"
"Resource allocation","Crisis management plans","Financial aid for health system","Financial aid to increase bed capacity in hospitals"
"Resource allocation","Crisis management plans","Financial aid for health system","For health care centers"
"Resource allocation","Crisis management plans","Financial aid for health system","For nursing homes and care facilities"
"Resource allocation","Crisis management plans","Financial aid for health system","For round-the-clock care institutions"
"Resource allocation","Crisis management plans","Financial aid for health system","From CDC"
"Resource allocation","Crisis management plans","Financial aid for health system","Fund to increase medical supplies"
"Resource allocation","Crisis management plans","Financial aid for health system","funding of temporary positions in Department of Health and Social Services"
"Resource allocation","Crisis management plans","Financial aid for health system","Funds to increase availability of PPE"
"Resource allocation","Crisis management plans","Financial aid for health system","Government funds"
"Resource allocation","Crisis management plans","Financial aid for health system","Intensive care registry"
"Resource allocation","Crisis management plans","Financial aid for health system","Mental health support for healthcare workers"
"Resource allocation","Crisis management plans","Financial aid for health system","Nursing facilities: infection control and visitor screening"
"Resource allocation","Crisis management plans","Financial aid for health system","Preparedness and response"
"Resource allocation","Crisis management plans","Financial aid for health system","Public Health Emergency Fund"
"Resource allocation","Crisis management plans","Financial aid for health system","Purchase pf materials and equipement and care of sick people"
"Resource allocation","Crisis management plans","Financial aid for health system","Re-allocate the lottery price"
"Resource allocation","Crisis management plans","Financial aid for health system","Strengthen health services"
"Resource allocation","Crisis management plans","Financial aid for health system","Supplemental budget for health care"
"Resource allocation","Crisis management plans","Financial aid for health system","The state support quarantine financially"
"Resource allocation","Crisis management plans","Financial aid for health system","Train personnel in intensive care medicine"
"Resource allocation","Crisis management plans","Funding for non-profit institutions",""
"Resource allocation","Crisis management plans","Measures for special populations","Homeless persons"
"Resource allocation","Crisis management plans","Repurpose government plans",""
"Resource allocation","Crisis management plans","Repurpose government plans","Cost containment strategies in government institutions"
"Resource allocation","Crisis management plans","Repurpose government plans","Economic aid to municipalities"
"Resource allocation","Crisis management plans","Repurpose government plans","Economic aid to online public library service"
"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"Resource allocation","Crisis management plans","Repurpose government plans","For R&D works directed to help in the fight against coronavirus"
"Resource allocation","Crisis management plans","Repurpose government plans","Funding to community-based organisations"
"Resource allocation","Crisis management plans","Repurpose government plans","Major Disaster Fund"
"Resource allocation","Crisis management plans","Repurpose government plans","The government changed the whole board of directors of the main hospital"
"Resource allocation","Crisis management plans","State aid, taxation and social security",""
"Resource allocation","Crisis management plans","State aid, taxation and social security","Automatic lease extension to prevent raising of rent"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Delaying TV fees for the >75 yo"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Ease access to financial aid for veterans"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Ease child care regulations"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Economic support to GDP"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Emergency shelters for asylum seekers"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Enhanced income support for COVID-19 infected people or those in self-isolation"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Ensure sick leave benefits for people in mandatory quarantine"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Expand child care access"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Expand child care access for essential persons"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Extended deadline for insurance-paying"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Extension of health insurance"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Facilitate loans for individuals"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Facilitate loans for students"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Financial compensation for parents who stay home for childcare"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Flexibility of rent payments"
"Resource allocation","Crisis management plans","State aid, taxation and social security","For vulnerable populations"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Free parking"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Government implement a special leave of absence for workers caring for vulnerable persons"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Guarantee loans for individuals"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Humanitarian measures"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Legal protection extended for essential workers"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Lower interest rates"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Measures to protect renters and house owners"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Partial or total deferral of interest payments"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Partial or total deferral of tax payments"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Possibility to apply for a withdrawal of private pension savings due to COVID-19"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Postponement of rate increases"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Prohibition of lay-offs for temporary contracts due to covid-19"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Provide access to healthcare to vulnerable populations"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Redundancy pay for workers who lost their jobs due to covid"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Refunds families for school transport"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Social services and seniors"
"Resource allocation","Crisis management plans","State aid, taxation and social security","State aid for vulnerable populations"
"Resource allocation","Crisis management plans","State aid, taxation and social security","State supports childcare if parents are doing essential work"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Support for healthcare providers"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Support skills development for unemployed and laid-off persons"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Support to families"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Support to foreign workers without social security"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Support to the education and research sector"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Support workers from large employers in the food sector industry"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspend evictions and foreclosures"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspension of banking fees"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspension of certain administrative requirements"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspension of parents' pay for  daycare centres during the period they are closed"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax and loan relief measures"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax relief measures"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax relief on PPE for certain establishment"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Temporary benefit scheme for persons outside the EU/EEA area staying in Svalbard"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Travelers can claim for refund of canceled package travel contracts"
"Resource allocation","Crisis management plans","State aid, taxation and social security","Waive family contribution to health insurance"
"Resource allocation","Economic measure to stimulate consumption","Direct support to people with low income","Voucher for domestic tourism"
"Resource allocation","Economic measure to stimulate consumption","Direct support to the population","Payment card to stimulate consumption of domestic products and services"
"Resource allocation","Economic measure to stimulate consumption","Direct support to the population","VAT-free days"
"Resource allocation","Economic measure to stimulate consumption","Direct support to the population","Vouchers for IT and digital skills training"
"Resource allocation","Measures to ensure continuity of services","Ensure the continuity of public services","Education, social services and public transport"
"Resource allocation","Measures to ensure continuity of services","Ensure the continuity of public services","Sanitation of urban wastewater, urban waste management"
"Resource allocation","Measures to ensure continuity of services","Ensure the continuity of public services","Train transportation service"
"Resource allocation","Measures to ensure continuity of services","Increase workforce for critical jobs",""
"Resource allocation","Measures to ensure security of supply","Ban export of necessity goods","Food"
"Resource allocation","Measures to ensure security of supply","Ban export of necessity goods","Wheat flour"
"Resource allocation","Measures to ensure security of supply","Fixing price for medical supplies",""
"Resource allocation","Measures to ensure security of supply","Fixing price for medical supplies","Consumable medical supplies and medical equipment and appliances"
"Resource allocation","Measures to ensure security of supply","Fixing price for medical supplies","Lift taxes on medical supplies"
"Resource allocation","Measures to ensure security of supply","Fixing price for medical supplies","Medicine and medical supplies"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods",""
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Basic necessities and household gas"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Communication services"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Food"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Food, clothing, fuel, equipment"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","food, medical supplies, personal hygene"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Gas"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","gas, energy, water, fuel, waste management"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Medicine"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Paper products, cleaning supplies, food"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Paper products, cleaning supplies, food, water."
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Sale or rental of any commodity or rental facility"
"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Water"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Disinfectant"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Face masks"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Fix maximum limit for profit"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Hand sanitizer and personal hygiene products"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Hand sanitizers"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Hand sanitizers, masks, gloves"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","PPE"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Prices frozen for all protective equipment"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Remove VAT on ethyl alcohol iused n bactericides"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Remove VAT on hand sanitizers"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Remove VAT on hand sanitizers and face masks"
"Resource allocation","Measures to ensure security of supply","Fixing price for specific protective products","Remove VAT on PPE"
"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for food products",""
"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for food products","Ease hour restrictions for motor carriers and drivers who deliver food"
"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for food products","Ease restrictions for transporters"
"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for food products","Ease restrictions for workers who deliver food"
"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for food products","Open rest areas for interstate food trucks"
"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for medical supplies","Ease restrictions for transporters"
"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for medical supplies","food, medical supplies, personal hygene"
"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for necessity goods","Ease hour restrictions for motor carriers and drivers who necessity goods"
"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for necessity goods","Ease restrictions for transporters"
"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for necessity goods","Waiving regulations regarding vehicle transportation"
"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications",""
"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications","Ensure electricity supply"
"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications","Ensure unlimited Internet access to public webpages"
"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications","Ensure water supply"
"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications","Flexibility in bill payment for vulnerable customers"
"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications","Free unlimited usage to customers"
"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications","Government fully absorb electricity bills for vulnerable populations"
"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications","Prevent water shut-off"
"Resource allocation","Measures to ensure security of supply","Prohibition of the hoarding of goods",""
"Resource allocation","Measures to ensure security of supply","State aid for fuel supply","For vulnerable populations"
"Resource allocation","Measures to ensure security of supply","Trade agreement with another country","Ensure trade of essential supplies"
"Resource allocation","Measures to ensure security of supply","Traffic enactments",""
"Resource allocation","Measures to ensure security of supply","Traffic enactments","Suspended driving ban on Sunday for all trucks with goods"
"Resource allocation","Measures to ensure security of supply","Traffic enactments","Suspended driving ban on Sunday for trucks transporting food and hygiene products"
"Resource allocation","Police and army interventions","Against dissemination of fake news",""
"Resource allocation","Police and army interventions","For cybersecurity","Funding to develop national cybersecurity"
"Resource allocation","Police and army interventions","Increase military forces","Re-enlistment of former enlisted members of the military forces"
"Resource allocation","Police and army interventions","Increase police forces","Army to reinforce police forces"
"Resource allocation","Police and army interventions","Increase police forces","Cooperation with Red Cross volunteers for border control"
"Resource allocation","Police and army interventions","Increase police forces","Police forces recruitment"
"Resource allocation","Police and army interventions","Increase police forces","Police forces training"
"Resource allocation","Police and army interventions","Increase police forces","Response to national emergency"
"Resource allocation","Police and army interventions","Increase police forces","Shorter training"
"Resource allocation","Police and army interventions","To collect data and samples for tests","Data collection and management"
"Resource allocation","Police and army interventions","To collect data and samples for tests","Provide help for contact tracing"
"Resource allocation","Police and army interventions","To collect data and samples for tests","Testing"
"Resource allocation","Police and army interventions","To support essential workers","Firemen to transport patients"
"Resource allocation","Police and army interventions","To support essential workers","Motivate and acknowledge essential workers"
"Resource allocation","Police and army interventions","To support essential workers","To assist healthcare professionals"
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance",""
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","In case test, isolation or treatment of patient is compromised"
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","Support local authorities"
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","To enforce border restrictions"
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","To enforce curfew"
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","To enforce lockdown"
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","To enforce mask wearing requirement"
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","To enforce quarantine/isolation"
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","To enforce social distancing"
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","To support law enforcement"
"Resource allocation","Police and army interventions","To support law enforcement/sanction in case of no compliance","Tracking of cititzens"
"Resource allocation","Police and army interventions","To support the population",""
"Resource allocation","Police and army interventions","To support the population","Construction of emergency accommodation"
"Resource allocation","Police and army interventions","To support the population","Ensure public services"
"Resource allocation","Police and army interventions","To support the population","Humanitarian missions"
"Resource allocation","Police and army interventions","To support the population","In affected areas"
"Resource allocation","Police and army interventions","To support the population","To help for food provision"
"Resource allocation","Police and army interventions","To support the population","To help vulnerable populations"
"Resource allocation","Police and army interventions","To support the population","Transfer of patients"
"Resource allocation","Provide international help","Assistance on the cruise ship Diamond Princess",""
