"";"id";"Country";"iso3";"Region";"Date";"Measure_L1";"Measure_L2";"Measure_L3";"Measure_L4";"Comment";"Source"
"888";888;"Germany";"DEU";"Saxony";"12/03/2020";"Social distancing";"Small gathering cancellation";"Complete prohibition of gathering";"";"";"https://www.coronavirus.sachsen.de/?_cp=%7B%22accordion-content-4444%22%3A%7B%229%22%3Atrue%2C%2210%22%3Atrue%2C%2211%22%3Atrue%7D%2C%22previousOpen%22%3A%7B%22group%22%3A%22accordion-content-4444%22%2C%22idx%22%3A11%7D%7D"
"889";889;"Germany";"DEU";"Saxony-Anhalt";"16/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of kindergartens";"";"https://www.mdr.de/sachsen-anhalt/magdeburg/magdeburg/corona-krise-reportage-erster-tag-kita-schliessung100.html"
"890";890;"Germany";"DEU";"Saxony-Anhalt";"16/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"";"https://www.mdr.de/sachsen-anhalt/magdeburg/magdeburg/corona-krise-reportage-erster-tag-kita-schliessung100.html"
"891";891;"Germany";"DEU";"Saxony-Anhalt";"18/03/2020";"Social distancing";"Mass gathering cancellation";"Limit up to 50 persons";"";"";"https://ms.sachsen-anhalt.de/fileadmin/Bibliothek/Politik_und_Verwaltung/MS/MS/Presse_Corona/VO/VAR_2-VO-SARS-COVID-19_2020-03-17_lesefassung.pdf"
"892";892;"Germany";"DEU";"Schleswig-Holstein";"16/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of kindergartens";"Mit Geltung ab dem 16. März sind Betretungsverbote sowie Verbote von schulischen Veranstaltungen für Schülerinnen und Schüler ab der 7. Klasse in allgemeinbildenden Schulen, Förderzentren, Berufs- und Ersatzschulen sowie in Schulen und Einrichtungen der dänischen Minderheit zu erlassen. Die Regelungen gelten auch für die Schülerinnen und Schüler der Pflege- und Gesundheitsfachschulen sowie Einrichtungen der überbetrieblichen Lehrlingsunterweisung.";"https://www.schleswig-holstein.de/DE/Landesregierung/III/Aktuelles/downloads/corona_Erlass_1403.pdf?__blob=publicationFile&v=3"
"893";893;"Germany";"DEU";"Schleswig-Holstein";"16/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"Mit Geltung ab dem 16. März sind Betretungsverbote sowie Verbote von schulischen Veranstaltungen für Schülerinnen und Schüler ab der 7. Klasse in allgemeinbildenden Schulen, Förderzentren, Berufs- und Ersatzschulen sowie in Schulen und Einrichtungen der dänischen Minderheit zu erlassen. Die Regelungen gelten auch für die Schülerinnen und Schüler der Pflege- und Gesundheitsfachschulen sowie Einrichtungen der überbetrieblichen Lehrlingsunterweisung.";"https://www.schleswig-holstein.de/DE/Landesregierung/III/Aktuelles/downloads/corona_Erlass_1403.pdf?__blob=publicationFile&v=3"
"894";894;"Germany";"DEU";"Schleswig-Holstein";"15/03/2020";"Social distancing";"Mass gathering cancellation";"Complete prohibition of gathering";"";"";"https://www.schleswig-holstein.de/DE/Landesregierung/VIII/_startseite/Artikel_2020/I/200314_erlass_veroeffentlicht.html (accessed 19/3/20)"
"895";895;"Germany";"DEU";"Schleswig-Holstein";"10/03/2020";"Social distancing";"Mass gathering cancellation";"Limit up to 1000 persons";"";"";"https://www.ndr.de/nachrichten/schleswig-holstein/Coronavirus-Landesregierung-verbietet-Grossveranstaltungen,corona528.html"
"896";896;"Germany";"DEU";"Thuringia";"17/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of kindergartens";"";"https://bildung.thueringen.de/fileadmin/2020/2020-03-13_Schulschlieszung_Elterninfo.pdf"
"897";897;"Germany";"DEU";"Thuringia";"17/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"";"https://bildung.thueringen.de/fileadmin/2020/2020-03-13_Schulschlieszung_Elterninfo.pdf"
"898";898;"Germany";"DEU";"Thuringia";"12/03/2020";"Social distancing";"Mass gathering cancellation";"Limit up to 1000 persons";"";"The cabinet has agreed that there will initially be no more events with more than a thousand participants in Thuringia. Events with 500 to 1,000 participants can be approved in individual cases after examination.";"https://www.tmasgff.de/medienservice/artikel/gesundheitsministerin-werner-keine-veranstaltungen-mehr-mit-mehr-als-eintausend-teilnehmern"
"899";899;"Germany";"DEU";"Thuringia";"14/03/2020";"Social distancing";"Mass gathering cancellation";"Limit up to 50 persons";"";"";"https://www.mdr.de/thueringen/coronavirus-thueringen-erlass-veranstaltungen-100-downloadFile.pdf (accessed 19/3/2020)"
"900";900;"Greece";"GRC";"Greece";"01/02/2020";"Healthcare and public health capacity";"Repurpose hospitals";"Some hospitals dedicated to covid19 patients";"";"";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6656-anakoi-nwsh-ypoyrgei-oy-ygei-as-gia-thn-etoimo-thta-ths-xw-ras-sxetika-me-ton-koronai-o"
"901";901;"Greece";"GRC";"Greece";"04/02/2020";"Case identification, contact tracing and related measures";"Airport health check";"Measure temperature for passengers from China";"Thermometer using infrared thermometers";"The National Public Health Organization (EODY), following a relevant order from the Minister of Health, Vassilis Kikilias, is implementing an active surveillance system to detect suspicious cases of the new 2019-nCoV corona on all direct flights from China.";"https://eody.gov.gr/enischysi-tis-energitikis-epitirisis-ston-diethni-aerolimena-eleytherios-venizelos-apo-ton-eody/"
"902";902;"Greece";"GRC";"Greece";"04/02/2020";"Risk communication";"Educate and actively communicate with the public";"Activate communication to the public";"airport, railway stations, harbours (poster, flyers) radio, social media, governmential homepages ";"Informing travelers with posters (in two languages) that have been placed at selected locations in the International Airport's arrivals and departures area.  Distribution of information leaflet with all the necessary information about the provided health services in Chinese language";"https://eody.gov.gr/enischysi-tis-energitikis-epitirisis-ston-diethni-aerolimena-eleytherios-venizelos-apo-ton-eody/"
"903";903;"Greece";"GRC";"Greece";"03/02/2020";"Healthcare and public health capacity";"Activate emergency response mechanisms";"";"";"meeting of the National Council of Public Health";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6660-synedriash-ethnikoy-symboylioy-dhmosias-ygeias"
"904";904;"Greece";"GRC";"All islands";"20/02/2020";"Healthcare and public health capacity";"Increase healthcare workforce";"Mobilization of domestic resources for health";"";"Legislative Initiative for the immediate recruitment of medical, nursing and paramedical staff to the islands' hospitals";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6700-shmeia-synenteykshs-ypoyrgoy-ygeias-basilh-kikilia-sthn-ekpomph-laquo-ektos-grammhs-raquo-toy-alpha-kai-stoys-dhmosiografoys-takh-xatzh-kai-lida-mpola"
"905";905;"Greece";"GRC";"Greece";"24/02/2020";"Risk communication";"Educate and actively communicate with the public";"Respiratory etiquette";"Advice campaign for not touching eyes/nose/mouth";"";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6708-throyme-toys-kanones-ygieinhs"
"906";906;"Greece";"GRC";"Greece";"24/02/2020";"Risk communication";"Educate and actively communicate with the public";"Respiratory etiquette";"Advice campaign for sneezing/coughing in the elbow";"";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6708-throyme-toys-kanones-ygieinhs"
"907";907;"Greece";"GRC";"Greece";"24/02/2020";"Risk communication";"Educate and actively communicate with the public";"Warning against travel to and return from risk areas";"";"";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6708-throyme-toys-kanones-ygieinhs"
"908";908;"Greece";"GRC";"Greece";"24/02/2020";"Risk communication";"Educate and actively communicate with the public";"Promote health check if respiratory symptoms";"Seek medical attention promptly if you are feeling unwell.";"";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6708-throyme-toys-kanones-ygieinhs"
"909";909;"Greece";"GRC";"Greece";"24/02/2020";"Risk communication";"Educate and actively communicate with the public";"Promote the 2m distance";"";"";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6708-throyme-toys-kanones-ygieinhs"
"910";910;"Greece";"GRC";"Greece";"24/02/2020";"Risk communication";"Educate and actively communicate with the public";"Encourage to not shake hands";"";"";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6708-throyme-toys-kanones-ygieinhs"
"911";911;"Greece";"GRC";"Thessaloniki";"26/02/2020";"Case identification, contact tracing and related measures";"Isolation of cases";"";"";"first case detecded, reternee from N-Italy, voluntarily quarantaine of the familiy";"https://www.reuters.com/article/us-china-health-greece-idUSKCN20K1IA"
"912";912;"Greece";"GRC";"Thessaloniki";"26/02/2020";"Case identification, contact tracing and related measures";"Tracing and monitoring";"Cases";"questionnaire";"";"https://www.reuters.com/article/us-china-health-greece-idUSKCN20K1IA"
"913";913;"Greece";"GRC";"Thessaloniki one school";"27/02/2020";"Social distancing";"Closure of educational institutions";"Partial closure of educational institutions";"Partial closure of primary and secondary schools";"only the school of the daughter of the fist positive case!";"https://www.reuters.com/article/us-china-health-greece-idUSKCN20K1IA"
"914";914;"Greece";"GRC";"Greece";"27/02/2020";"Social distancing";"Mass gathering cancellation";"Festivals, faith-based events";"carnival parties cancelled";"";"https://www.news247.gr/koinonia/koronoios-akyronetai-to-karnavali-se-oli-ti-chora.7592156.html"
"915";915;"Greece";"GRC";"Attica";"28/02/2020";"Social distancing";"Closure of educational institutions";"Partial closure of educational institutions";"Partial closure of primary and secondary schools";"Schools are closing, closing for precautionary reasons for fear of the corona transmission , while information indicates that the relevant Ministries of Health and Education have decided to close 8 schools in Peristeri, Haidari and Glyfada.";"https://www.tornosnews.gr/en/greek-news/society/39157-4-confirmed-coronavirus-cases-in-greece-and-8-schools-closed-in-attica.html"
"916";916;"Greece";"GRC";"Greece";"28/02/2020";"Social distancing";"Closure of educational institutions";"Reduction of excursions, out-of-house events";"";"The suspension of all educational trips outward announced Sotiris Tsiodras , when updating the fourth outbreak  of the new coronavirus in the country .";"https://www.cnn.gr/news/ellada/story/209325/koronaios-anastellontai-oles-oi-sxolikes-ekdromes-sto-exoteriko"
"917";917;"Greece";"GRC";"Greece";"28/02/2020";"Social distancing";"Measures for special populations";"Measures to limit contact to hospital patients";"Recommendation to reduce contact to hospital patients";"";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6744-metra-gia-thn-profylaksh-noshleyomenwn-asthenwn-poy-anhkoyn-se-eypatheis-omades"
"918";918;"Greece";"GRC";"Greece";"28/02/2020";"Social distancing";"Measures for special populations";"Measures to limit contact to long-term care facilities";"Recommendation to reduce contact to long-term care facilities";"";"https://www.moh.gov.gr/articles/ministry/grafeio-typoy/press-releases/6744-metra-gia-thn-profylaksh-noshleyomenwn-asthenwn-poy-anhkoyn-se-eypatheis-omades"
"919";919;"Greece";"GRC";"Greece";"06/03/2020";"Case identification, contact tracing and related measures";"Tracing and monitoring";"Nationals who travelled to at risk areas";"Israel";"Specialist infectious disease specialists have been extensively tracking the contacts of the two travelers since yesterday  , starting with his 52 fellow travelers, as well as the hospital staff who had come in contact with him during his hospitalization. More than 400 contacts have been tracked by travelers, the ministry said on Thursday .";"https://www.cnn.gr/news/ellada/story/210074/koronoios-stin-ellada-sta-31-ta-kroysmata-toy-ioy-21-nea --- https://www.timesofisrael.com/greece-says-23-tourists-who-recently-visited-israel-sick-with-covid-19/"
"920";920;"Greece";"GRC";"Greece";"06/03/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from high risk areas other than China";"Italy";"All flights to and from northern Italy suspended as of March 9 due to coronavirus disease (COVID-19) outbreak; confirm flight itineraries TIMEFRAME expected from 3/9/2020, 12:00 AM until 3/23/202";"https://www.garda.com/crisis24/news-alerts/320936/greece-government-suspends-all-flights-to-and-from-northern-italy-due-to-covid-19-outbreak-march-9-update-3"
"921";921;"Greece";"GRC";"Ilia, Achaia und Zakynthos ";"06/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Theatres, cinemas, concerts, etc.";"local/regional areas affected by the ""Isreal-return-cases""";"https://www.cnn.gr/news/ellada/story/209987/koronoios-kleinoyn-sxoleia-athlitika-kentra-kinimatografoi-kai-theatra-se-hleia-axaia-kai-zakyntho"
"922";922;"Greece";"GRC";"Ilia, Achaia und Zakynthos ";"06/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"local/regional areas affected by the ""Isreal-return-cases""";"";"https://www.cnn.gr/news/ellada/story/209987/koronoios-kleinoyn-sxoleia-athlitika-kentra-kinimatografoi-kai-theatra-se-hleia-axaia-kai-zakyntho"
"923";923;"Greece";"GRC";"Greece";"08/03/2020";"Social distancing";"Mass gathering cancellation";"Sport events";"visitors excluded";"";"https://eody.gov.gr/anakoinosi-neon-metron-gia-tin-prostasia-tis-dimosias-ygeias/"
"924";924;"Greece";"GRC";"Greece";"09/03/2020";"Social distancing";"Measures for special populations";"Measures to limit contact to hospital patients";"Close hospitals for visitors";"";"https://eody.gov.gr/enimerosi-diapisteymenon-syntakton-apo-ton-ekprosopo-toy-ypoyrgeioy-ygeias-gia-ton-neo-kronoio-kathigiti-sotiri-tsiodra-9-3-2020/"
"925";925;"Greece";"GRC";"Greece";"09/03/2020";"Social distancing";"Mass gathering cancellation";"Limit up to 1000 persons";"";"";"https://eody.gov.gr/enimerosi-diapisteymenon-syntakton-apo-ton-ekprosopo-toy-ypoyrgeioy-ygeias-gia-ton-neo-kronoio-kathigiti-sotiri-tsiodra-9-3-2020/"
"926";926;"Greece";"GRC";"Greece";"10/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of kindergartens";"";"https://eody.gov.gr/dilosi-toy-ypoyrgoy-ygeias-vasili-kikilia-gia-tin-anastoli-leitoyrgias-olon-ton-ekpaideytikon-idrymaton-meta-apo-eisigisi-tis-eidikis-epitropis-loimoxiologon/"
"927";927;"Greece";"GRC";"Greece";"10/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"";"https://eody.gov.gr/dilosi-toy-ypoyrgoy-ygeias-vasili-kikilia-gia-tin-anastoli-leitoyrgias-olon-ton-ekpaideytikon-idrymaton-meta-apo-eisigisi-tis-eidikis-epitropis-loimoxiologon/"
"928";928;"Greece";"GRC";"Greece";"10/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of universities, research institutions";"";"https://eody.gov.gr/dilosi-toy-ypoyrgoy-ygeias-vasili-kikilia-gia-tin-anastoli-leitoyrgias-olon-ton-ekpaideytikon-idrymaton-meta-apo-eisigisi-tis-eidikis-epitropis-loimoxiologon/"
"929";929;"Greece";"GRC";"Greece";"13/03/2020";"Social distancing";"Mass gathering cancellation";"Cultural events";"Theatres, cinemas, concerts, etc.";"all theatres, courthouses, cinemas, gyms, playgrounds and clubs";"https://eody.gov.gr/enimerosi-diapisteymenon-syntakton-apo-ton-ekprosopo-toy-ypoyrgeioy-ygeias-gia-ton-neo-kronoio-kathigiti-sotiri-tsiodra-9-3-2020/"
"930";930;"Greece";"GRC";"Greece";"13/03/2020";"Social distancing";"Small gathering cancellation";"Closure of restaurants/bars/cafes";"Total";"all shopping centres, cafes, restaurants, bars, museums and archaeological sites and food outlets, excluding supermarkets";"https://eody.gov.gr/enimerosi-diapisteymenon-syntakton-apo-ton-ekprosopo-toy-ypoyrgeioy-ygeias-gia-ton-neo-kronoio-kathigiti-sotiri-tsiodra-9-3-2020/"
"931";931;"Greece";"GRC";"Greece";"14/03/2020";"Travel restriction";"Travel restriction to high-risk areas";"Italy";"";"";"https://www.reuters.com/article/us-health-coronavirus-greece-death/greece-reports-two-more-coronavirus-fatalities-suspends-all-flights-to-italy-idUSKBN2110H1"
"932";932;"Greece";"GRC";"Greece";"14/03/2020";"Social distancing";"Mass gathering cancellation";"Outdoor activities";"Closure of ski resorts and organized beaches";"Koronoios: All ski resorts and organized beaches are closed by Mitsotakis decision";"https://www.cnn.gr/news/ellada/story/211253/koronoios-kleinoyn-ola-ta-xionodromika-kai-oi-organomenes-paralies-me-apofasi-mitsotaki --- https://eody.gov.gr/enimerosi-diapisteymenon-syntakton-ygeias-apo-ton-ekprosopo-toy-ypoyrgeioy-ygeias-gia-to-neo-koronoio-kathigiti-sotiri-tsiodra-2/"
"933";933;"Greece";"GRC";"Greece";"18/03/2020";"Social distancing";"Small gathering cancellation";"Closure of non-essential shops";"";"During the briefing of the political editors, the decision to suspend the operation of all commercial stores from Wednesday was announced . As it was clarified, in no case will supermarkets, pharmacies and petrol stations be closed.";"https://www.onmed.gr/ygeia-eidhseis/story/382607/koronoios-ola-ta-metra-poy-isxyoyn-apo-simera-analytika"
"934";934;"Greece";"GRC";"Two villages in Western Macedonia, Damaskinia and Dragasia";"16/03/2020";"Travel restriction";"Cordon sanitaire";"2 villages";"";"Residents of the villages of Damaskinia and Dragasia Kozani were placed under house arrest yesterday, Monday, and their villages were declared a state of emergency for 14 days by a decision of the General Secretariat for Civil Protection, in order to reduce the spread of coronavirus .";"https://www.cnn.gr/news/ellada/story/211558/koronoios-pos-eftase-o-ios-sta-xoria-damaskinia-kai-dragasia-toy-dimoy-voioy --- https://www.skai.gr/news/greece/koronoios-to-proto-24oro-tis-karantinas-se-damaskinia-dragasia-ti-lene-oi-katoikoi"
"935";935;"Greece";"GRC";"Greece";"16/03/2020";"Social distancing";"Mass gathering cancellation";"Place of worship";"";"only funerals allowed with restricted number of participants";"https://www.onmed.gr/ygeia-eidhseis/story/382607/koronoios-ola-ta-metra-poy-isxyoyn-apo-simera-analytika"
"936";936;"Greece";"GRC";"Greece";"16/03/2020";"Travel restriction";"Border restriction";"Borders closed for travellers but open for food supply";"Albania + North Macendonia";"";"https://www.ant1news.gr/eidiseis/article/562722/koronoios-kleista-ta-synora-me-albania-kai-boreia-makedonia"
"937";937;"Greece";"GRC";"Greece";"16/03/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from high risk areas other than China";"to/from Italy, Spain";"the Civil Aviation Authority (CAA), informed yesterday that from March 15, 2020 at 24:00 in the evening until March 29, 2020 at 24:00 in the evening all flights suspended passenger transport to and from Spanish airports. It is important to mention that Cargo, Cargo, sanitary flights and ferry flights are excluded from the temporary ban on flights from Greece to and from Spain (return of aircraft only with its crew). It is recalled that since March 14, the Civil Aviation Authority has already issued a NOTAM valid until March 29, 2020, suspending all flights, passenger transport, to and from Italian airports. Cargo and sanitary flights are excluded from the temporary ban on flights imposed by Greece to and from Italy.";"https://ypodomes.com/anastellontai-oi-aeroporikes-syndeseis-me-ispania-kai-italia/"
"938";938;"Greece";"GRC";"Greece";"16/03/2020";"Travel restriction";"Denial entry to boats with more than 100 passengers";"All";"from Italy + Spain, and all crusing ships";"the Civil Aviation Authority (CAA), informed yesterday that from March 15, 2020 at 24:00 in the evening until March 29, 2020 at 24:00 in the evening all flights suspended passenger transport to and from Spanish airports. It is important to mention that Cargo, Cargo, sanitary flights and ferry flights are excluded from the temporary ban on flights from Greece to and from Spain (return of aircraft only with its crew). It is recalled that since March 14, the Civil Aviation Authority has already issued a NOTAM valid until March 29, 2020, suspending all flights, passenger transport, to and from Italian airports. Cargo and sanitary flights are excluded from the temporary ban on flights imposed by Greece to and from Italy.";"https://ypodomes.com/anastellontai-oi-aeroporikes-syndeseis-me-ispania-kai-italia/"
"939";939;"Greece";"GRC";"Greece";"16/03/2020";"Case identification, contact tracing and related measures";"Quarantine";"All incomings";"";"";"https://eody.gov.gr/enimerosi-diapisteymenon-syntakton-ygeias-apo-ton-yfypoyrgo-politikis-prostasias-kai-diacheirisis-kriseon-niko-chardalia-kai-ton-ekprosopo-toy-ypoyrgeioy-ygeias-gia-to-neo-koronoio-kathigiti-sotiri-t/"
"940";940;"Greece";"GRC";"Greece";"18/03/2020";"Social distancing";"Small gathering cancellation";"Police and army control and sanctions";"assembly ban for more than 10P, 1000 Euro penalty";"Entertainment gatherings in a closed space with the participation of 10 or more people are strictly discouraged. In any case, all the rules of hygiene and distance between persons must be observed.";"https://eody.gov.gr/enimerosi-diapisteymenon-syntakton-ygeias-apo-ton-yfypoyrgo-politikis-prostasias-kai-diacheirisis-kriseon-niko-chardalia-kai-ton-ekprosopo-toy-ypoyrgeioy-ygeias-gia-to-neo-koronoio-kathigiti-sotiri-2/"
"941";941;"Greece";"GRC";"All migrants camps";"18/03/2020";"Travel restriction";"Individual movement restrictions";"Non-essential movements forbidden";"";"movement of camp residents would be restricted to small groups between 7am and 7pm, which could only include one person per family and would be controlled by police movement of camp residents  restricted to small groups between 7am and 7pm,  only one person per family,  controlled by police on public transport. ";"https://www.channelnewsasia.com/news/world/greece-unveils-new-coronavirus-restrictions-in-migrant-camps-12553024"
"942";942;"Greece";"GRC";"All migrants camps";"18/03/2020";"Healthcare and public health capacity";"Increase healthcare workforce";"In the refugee camps";"";"Specialised medical teams  sent to the camps, creation of virus isolation areas";"https://www.channelnewsasia.com/news/world/greece-unveils-new-coronavirus-restrictions-in-migrant-camps-12553024"
"943";943;"Greece";"GRC";"All migrants camps";"18/03/2020";"Case identification, contact tracing and related measures";"Border health check";"Measure temperature";"compulsory temperature checking";"";"https://www.channelnewsasia.com/news/world/greece-unveils-new-coronavirus-restrictions-in-migrant-camps-12553024"
"944";944;"Greece";"GRC";"All migrants camps";"18/03/2020";"Travel restriction";"Cordon sanitaire";"One city";"";"All  visits to the camps whether by individuals or organisations suspended";"https://www.channelnewsasia.com/news/world/greece-unveils-new-coronavirus-restrictions-in-migrant-camps-12553024"
"945";945;"Greece";"GRC";"Greece";"19/03/2020";"Social distancing";"Return operation of nationals living abroad";"";"";"";"https://www.ert.gr/eidiseis/ellada/kinonia/ypex-tesseris-ptiseis-epanapatrismoy-to-sk-systaseis-gia-apofygi-taxidion/"
"946";946;"Greece";"GRC";"Greece";"21/03/2020";"Travel restriction";"Non-essential travels forbidden";"";"";"only permanent residents and supply trucks  allowed to travel to the Greek islands";"https://www.cnn.gr/news/politiki/story/212041/koronoios-mono-oi-monimoi-katoikoi-tha-mporoyn-na-taxidepsoyn-sta-nisia"
"947";947;"Greece";"GRC";"Greece";"22/03/2020";"Social distancing";"Mass gathering cancellation";"Closure of non-essential public places";"";"all parks, recreation areas and marinas";"https://www.athensvoice.gr/greece/631998_kleinoyn-oles-oi-paidikes-hares-kai-oi-marines-logo-koronoioy"
"948";948;"Greece";"GRC";"Greece";"22/03/2020";"Social distancing";"Small gathering cancellation";"Closure of short-term accomodation";"";"Only three hotels will remain open in the cities of Athens and Thessaloniki and one in the capital of each Regional Unit of the country following the decision of the Ministry of Tourism, which has just been announced and concerns the closure of all hotels in Greece.";"https://www.ethnos.gr/ellada/95076_koronoios-kleinoyn-ta-xenodoheia-sti-hora-mas"
"949";949;"Greece";"GRC";"Greece";"23/03/2020";"Travel restriction";"Individual movement restrictions";"Non-essential movements forbidden";"Traffic ban (police sanction)";"From 6:00 on the morning of Monday, March 23, 2020, the traffic ban will be in force. There are three alternatives to how we will move. (ftravel certificates)";"https://eviaportal.gr/apagorefsi-kykloforias-apo-deftera-23-martiou-2020/ --- https://forma.gov.gr/en/"
"950";950;"Greece";"GRC";"Greece";"23/03/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from high risk areas other than China";"UK, Turkey";"We also inform you that from today at 12 midnight, all air connections with the United Kingdom will be cut off and from this morning all connections - by air, road, rail - with Turkey will be cut off. Only the entry of the Customs of the Gardens of all Greek nationals is allowed only.";"https://eody.gov.gr/enimerosi-diapisteymenon-syntakton-ygeias-23-03-2020/"
"951";951;"Greece";"GRC";"Greece";"23/03/2020";"Healthcare and public health capacity";"Increase healthcare workforce";"Mobilization of domestic resources for health";"";"The Ministry of Health has already recruited and 176 doctors and 733 nurses and other staff have been recruited in hospitals across the country. Another 2,145 recruitments have already been approved and in more detail, 431 doctors and 1,714 nurses and other staff. They will be hired within the next ten days. Every day other recruitments of doctors, nurses and other staff are approved, according to the needs that arise in our hospitals.";"https://eody.gov.gr/eisagogiki-topothetisi-ypoyrgoy-ygeias-vasili-kikilia-sti-simerini-enimerosi-ton-diapisteymenon-syntakton-ygeias/"
"952";952;"Greece";"GRC";"Greece";"23/03/2020";"Healthcare and public health capacity";"Increase patient capacity";"Increase ICU capacity";"";"However, 2 months ago the E.S.Y. had 565 ICU beds. To these we added 80 ICU beds from the private sector to exacerbate the flu virus. Today, the NSS has 685 ICU and MAF beds. And we go on. Others are added daily.  39 MAF beds have already been converted into ICUs and we have already received another 107 ICU beds from the private sector. We have also added to the system 38 ICU beds from military hospitals, as well as the entire NIMTS hospital that will be used as a coronary hospital.";"https://eody.gov.gr/eisagogiki-topothetisi-ypoyrgoy-ygeias-vasili-kikilia-sti-simerini-enimerosi-ton-diapisteymenon-syntakton-ygeias/"
"953";953;"Greece";"GRC";"Greece";"23/03/2020";"Healthcare and public health capacity";"Increase patient capacity";"Beds";"";"The beds that have already been developed for the simple treatment of patients with COVID-19 are currently 2,158. These numbers will continue to rise, based on the needs and plan drawn up by the Ministry of Health, passing from one phase of the virus to another. At this stage, the PAMMAKARISTOS hospital with 60 beds, NIMTS, wings at AGIA VARVARA with 56 beds and the private hospital ATTICA in Elefsina with 300 beds, will treat exclusively patients with COVID-19.";"https://eody.gov.gr/eisagogiki-topothetisi-ypoyrgoy-ygeias-vasili-kikilia-sti-simerini-enimerosi-ton-diapisteymenon-syntakton-ygeias/"
"954";954;"Greece";"GRC";"Migrant camp near Athens";"31/03/2020";"Case identification, contact tracing and related measures";"Isolation of cases";"";"";"first case detected within migration camp near Athens";"https://www.aa.com.tr/en/europe/covid-19-refugee-camp-near-greek-capital-on-lockdown/1789521"
"955";955;"Honduras";"HND";"Honduras";"11/03/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"Declare emergency state";"";"";"https://www.elheraldo.hn/pais/1363487-466/emergencia-sanitaria-en-honduras-ante-primeros-casos-de-coronavirus"
"956";956;"Honduras";"HND";"Honduras";"11/03/2020";"Travel restriction";"Border restriction";"Borders closed for people from high-risk areas other than China";"";"restricted access for foreigners travelling from Europe, China, Iran and South Korea";"https://www.laprensa.hn/honduras/1363560-410/coronavirus-honduras-eventos-partidos-clases-conciertos-educacion"
"957";957;"Honduras";"HND";"Honduras";"12/03/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"All";"events, university and school classes prohibited from 16-03 to 06-14";"https://www.laprensa.hn/honduras/1363560-410/coronavirus-honduras-eventos-partidos-clases-conciertos-educacion"
"958";958;"Honduras";"HND";"Honduras";"12/03/2020";"Social distancing";"Mass gathering cancellation";"";"";"";"https://www.laprensa.hn/honduras/1363560-410/coronavirus-honduras-eventos-partidos-clases-conciertos-educacion"
"959";959;"Honduras";"HND";"Honduras";"15/03/2020";"Travel restriction";"Border restriction";"Borders closed to all non-citizens";"";"closed all air, land, and maritime borders to contain the virus";"https://radiohrn.hn/honduras-confirma-tres-nuevos-casos-de-coronavirus-y-ya-suman-seis/"
"960";960;"Honduras";"HND";"Honduras";"16/03/2020";"Social distancing";"Public transport";"";"";"banned use of public transport, enforcing some public and private work to abstain from presenting themselves to work";"https://covid19honduras.org/?q=toque-de-queda"
"961";961;"Honduras";"HND";"Central District, Choluteca, La Ceiba";"16/03/2020";"Travel restriction";"Individual movement restrictions";"Non-essential movements forbidden";"";"total curfew imposed for central district, all nonessential movements of people banned until further notice";"https://covid19honduras.org/?q=toque-de-queda"
"962";962;"Honduras";"HND";"2 neighborhoods El Carrizal and Abraham Lincoln";"17/03/2020";"Travel restriction";"Cordon sanitaire";"2 neighborhoods";"Epidemiological fence set up";"epidemiological fence set up in neighborhoods El Carrizal and Abraham Lincoln";"https://covid19honduras.org/?q=noveno-caso-confirmado-con-covid19"
