Country,iso3c,Region,Date,Measure_L1,Measure_L2,Measure_L3,Measure_L4,Comment,Source
Hong Kong,HKG,Hong Kong,22/01/2020,"Case identification, contact tracing and related measures",Surveillance,Implement sentinel study,,,https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200122/20200122_211638_587.html?type=category&name=covid19&tl=t
Hong Kong,HKG,Hong Kong,22/01/2020,"Case identification, contact tracing and related measures",Surveillance,Implement community-based surveillance,,,https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200122/20200122_211638_587.html?type=category&name=covid19&tl=t
Hong Kong,HKG,Hong Kong,20/02/2020,"Case identification, contact tracing and related measures",Surveillance,Use existing respiratory disease surveillance systems and hospital-based surveillance,,,https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200120/20200120_192835_870.html
Hong Kong,HKG,Hong Kong,20/02/2020,"Case identification, contact tracing and related measures",Surveillance,Implement existing respiratory disease surveillance systems and hospital-based surveillance,,,https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200120/20200120_192835_870.html
Hong Kong,HKG,Hong Kong,24/01/2020,"Case identification, contact tracing and related measures",Tracing and monitoring,Citizens who travelled to at risk areas,last 14 days had been to Wuhan,,https://www.info.gov.hk/gia/general/202001/24/P2020012400746.htm
Hong Kong,HKG,Hong Kong,09/02/2020,"Case identification, contact tracing and related measures",Tracing and monitoring,Citizens who travelled to at risk areas,All travelers from mainland China,,https://sc.news.gov.hk/chi/2020/02/20200209/20200209_230926_521.html?type=category&name=covid19&tl=t
Hong Kong,HKG,Hong Kong,25/02/2020,"Case identification, contact tracing and related measures",Tracing and monitoring,Citizens who travelled to at risk areas,last 14 days had been to S.Korea,"s.korea other regions , italy and iran started on 3/1",https://zh.wikipedia.org/wiki/2019?????????????
Hong Kong,HKG,Hong Kong,20/01/2020,"Case identification, contact tracing and related measures",Tracing and monitoring,Cases,,via government site,https://www.chp.gov.hk/files/pdf/flights_trains_tc.pdf
Hong Kong,HKG,Hong Kong,24/01/2020,Travel restriction,Train transport restrictions,Close down train service and visitors from high risk place,,Hubei,https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/02/20200226/20200226_131621_829.html?type=category&name=covid19&tl=t
Hong Kong,HKG,Hong Kong,25/01/2020,Travel restriction,Travel restriction to high-risk areas,,,to Wuhan,https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200125/20200125_191553_178.html?type=category&name=covid19&tl=t
Iceland,ISL,Iceland,28/02/2020,Healthcare and public health capacity,Activate emergency response mechanisms,Declare alert phase,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
Iceland,ISL,Iceland,06/03/2020,Healthcare and public health capacity,Activate emergency response mechanisms,Declare civil protection distress phase,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
Iceland,ISL,Iceland,02/03/2020,Risk communication,Actively communicate with healthcare professionals,encourage healthcare workwers to avoid travel,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
Iceland,ISL,Iceland,24/01/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for passengers from Hubei,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
Iceland,ISL,Iceland,24/01/2020,"Case identification, contact tracing and related measures",Airport health check,Peole with signs of respiratory infection,,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
Iceland,ISL,Iceland,18/03/2020,Travel restriction,Border restriction,Borders closed to to tourists from countries outside of the EEA and EFTA,,Travellers from outside these areas will not be allowed to enter Iceland unless they can demonstrate that they are coming on “urgent business.”,https://www.icelandreview.com/ask-ir/whats-the-status-of-covid-19-in-iceland/
Iceland,ISL,Iceland,16/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,Closure of junior colleges,"Junior colleges: ""menntaskólar"" (upper secondary schools)",https://www.icelandreview.com/ask-ir/whats-the-status-of-covid-19-in-iceland/
Iceland,ISL,Iceland,16/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,"Complete closure of universities, research institutions",,https://www.icelandreview.com/ask-ir/whats-the-status-of-covid-19-in-iceland/
Iceland,ISL,Iceland,16/03/2020,Social distancing,Closure of educational institutions,Partial closure of educational institutions,Partial closure of primary schools and pre schools,,https://www.icelandreview.com/ask-ir/whats-the-status-of-covid-19-in-iceland/
Iceland,ISL,Iceland,06/02/2020,Risk communication,Educate and actively communicate with the public,Answer to questions,provide telephone hotlines covid-19,,https://www.ferdamalastofa.is/en/moya/news/the-new-coronavirus-health-alert-notice-for-international-travellers
Iceland,ISL,Iceland,13/03/2020,Risk communication,Educate and actively communicate with the public,Answer to questions,Provide website with COVID 19 information,,whois of webiste https://www.covid.is/faq
Iceland,ISL,Iceland,13/03/2020,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,,Press conference,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
Iceland,ISL,Iceland,31/01/2020,Risk communication,Educate and actively communicate with the public,Guidance for frontline service staff,,,https://www.ferdamalastofa.is/static/files/corona/2020-guidance-for-frontline-service-staff.pdf
Iceland,ISL,Iceland,06/02/2020,Risk communication,Educate and actively communicate with the public,Health alert notice to international travellers,,,https://www.ferdamalastofa.is/en/moya/news/the-new-coronavirus-health-alert-notice-for-international-travellers
Iceland,ISL,Iceland,14/03/2020,Social distancing,Mass gathering cancellation,Cultural events,"theatres, cinemas, concerts, etc.","Cancellations of individual events, no government measures",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
Iceland,ISL,Iceland,16/03/2020,Social distancing,Mass gathering cancellation,Limit up to 100 persons,,,https://www.icelandreview.com/ask-ir/whats-the-status-of-covid-19-in-iceland/
Iceland,ISL,Iceland,16/03/2020,Social distancing,Measures for special populations,Measures to limit contact to the elderly,Special shopping time for the elderly,Netto and Samkaup,https://www.mbl.is/frettir/innlent/2020/03/16/ser_afgreidslutimi_fyrir_vidkvaema/ and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
Iceland,ISL,Iceland,02/03/2020,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,Travellers from Italy,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland
Iceland,ISL,Iceland,19/03/2020,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,,all incoming people regardless of where they are travelling from,https://www.icelandreview.com/ask-ir/whats-the-status-of-covid-19-in-iceland/
Iceland,ISL,Iceland,13/03/2020,"Case identification, contact tracing and related measures",Surveillance,Implement sentinel study,Random testing of population,,https://www.buzzfeed.com/albertonardelli/coronavirus-testing-iceland
Iceland,ISL,Iceland,16/03/2020,Social distancing,Work safety protocols,,,,https://www.icelandreview.com/ask-ir/whats-the-status-of-covid-19-in-iceland/
Iceland,ISL,Vestmannaeyjar,21/03/2020,Social distancing,Mass gathering cancellation,Limit up to 10 persons,,,
Indonesia,IDN,East Java,20/03/2020,Healthcare and public health capacity,Activate emergency response mechanisms,Declare emergency state,State of emergency declared,"""Khofifah Indar Parawansa declares a state of emergency for East Java.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,17/03/2020,Healthcare and public health capacity,Activate emergency response mechanisms,Declare emergency state,Emergency period for 91 days.,"""the Indonesian National Board for Disaster Management declared an emergency period for 91 days, effective until 29 May 2020.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,20/03/2020,Risk communication,Actively communicate with stakeholders,,,"""Anies also urged businesses to suspend operations, and he urged all stakeholders to take drastic actions to prevent the spread of the disease during the state of emergency.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,05/02/2020,Travel restriction,Airport restriction,Denial entry of travellers from China,,""" direct flights to and from China have been temporarily suspended starting Wednesday at 00.00.""",https://kemlu.go.id/portal/id/read/1128/siaran_pers/pernyataan-pers-kemlu-tentang-update-pemulangan-wni-dari-wuhan-serta-kebijakan-pemri-mengenai-pendatangtraveler-dari-rrt
Indonesia,IDN,Indonesia,08/03/2020,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,South Korea,"""From 8 March, Indonesia also introduced restrictions on all travellers who have visited South Korea within the last 14 days.""",https://www.gov.uk/foreign-travel-advice/indonesia/health#coronavirus
Indonesia,IDN,Indonesia,20/03/2020,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,"UK, Iran, Italy, the Vatican, Spain, France, Germany and Switzerland","""Those who have visited the UK, Iran, Italy, the Vatican, Spain, France, Germany and Switzerland in the last 14 days will not be allowed to enter into or transit through Indonesia.""",https://www.gov.uk/foreign-travel-advice/indonesia/health#coronavirus
Indonesia,IDN,Indonesia,02/03/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Televised statement,"""President Joko Widodo confirmed the first two cases of COVID-19 in the country in a televised statement.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,19/03/2020,Risk communication,Educate and actively communicate with the public,Promote the 2m distance,Advise on social distancing,"""President Joko Widodo confirmed the first two cases of COVID-19 in the country in a televised statement."", ""These three things are important we keep repeating, again, reducing mobility from one place to another, secondly, keeping a distance, thirdly, reducing the crowd that carries the risk of spreading COVID-19.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia ---  https://news.detik.com/berita/d-4945259/ini-arahan-lengkap-terbaru-jokowi-untuk-tangani-virus-corona/2
Indonesia,IDN,Indonesia,17/03/2020,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Advise to Indonesian nationals to return home,"""For Indonesian citizens currently travelling abroad, it is advised to return to Indonesia at the earliest possible time to avoid further travel disruptions.""",http://indonesianembassy.org.uk/en/2020/03/17/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response/
Indonesia,IDN,Indonesia,17/03/2020,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Advise to restrict all non-essential travel,"""Given the increasing number of countries affected by COVID-19, the Government advises all Indonesian citizens to restrict non-essential outbound travels.""",http://indonesianembassy.org.uk/en/2020/03/17/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response/
Indonesia,IDN,Indonesia,19/03/2020,Healthcare and public health capacity,Enhance healthcare capacity,Ban on exportation of medical equipement and drugs,Stop on exporting medical equipment,"""Joko Widodo announces 7 critical points (Mass rapid tests, incentive for medical personnel, involve religious people, stop exporting medical equipment, stop holiday, incentive for Small and Medium Enterprises, increase food stocks) to accelerate elimination of COVID-19 outbreak in Indonesia.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,23/03/2020,Healthcare and public health capacity,Enhance healthcare capacity,Healthcare equipement,COVID-19 emergency hospital in Jakarta,"""President Joko Widodo inaugurated the first COVID-19 emergency hospital in the country in Wisma Atlet, Kemayoran, Jakarta.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,20/03/2020,Healthcare and public health capacity,Enhance healthcare capacity,Healthcare equipement,Import of 9 tonnes of medical equipment,"""Indonesian Air Force is to fly its C-130 Hercules (A-1333) to the Chinese city of Shanghai on Saturday to pick up approximately 9 tonnes of medical equipment. The route is Malang-Natuna-Hainan-Shanghai. The equipment includes disposable masks, N-95 masks, protective clothing, goggles, gloves, shoe covers, infrared thermometers and surgical caps.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,19/03/2020,Healthcare and public health capacity,Enhance healthcare capacity,Human resource,Incentive for medical personnel,"""Joko Widodo announces 7 critical points (Mass rapid tests, incentive for medical personnel, involve religious people, stop exporting medical equipment, stop holiday, incentive for Small and Medium Enterprises, increase food stocks) to accelerate elimination of COVID-19 outbreak in Indonesia.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,19/03/2020,Healthcare and public health capacity,Enhance laboratory testing,Decrease time between test and result,Mass rapid tests,"""Joko Widodo announces 7 critical points (Mass rapid tests, incentive for medical personnel, involve religious people, stop exporting medical equipment, stop holiday, incentive for Small and Medium Enterprises, increase food stocks) to accelerate elimination of COVID-19 outbreak in Indonesia."", ""The import of Rapid Test Tools (15 minutes - 3 hours) by Rajawali Nusantara Indonesia from China has been approved by Ministry of Health.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,16/03/2020,"Case identification, contact tracing and related measures",Quarantine,Contact persons,Quarantine of non symptomatic COVID-19 patients.,"""Indonesia announced that it will start to quarantine non symptomatic COVID-19 patients in their own home.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,02/02/2020,"Case identification, contact tracing and related measures",Quarantine,People who travelled to China or high-risk areas,Repatriation and quarantine.,"""The Indonesian government evacuated 243 Indonesian nationals from Wuhan, China. The repatriated Indonesians were placed under quarantine in the Natuna Islands.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,02/02/2020,Social distancing,Return operation of nationals living in regions at risk,Hubei,Quarantine,"""The Indonesian government evacuated 243 Indonesian nationals from Wuhan, China. The repatriated Indonesians were placed under quarantine in the Natuna Islands.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,24/02/2020,Social distancing,Return operation of nationals living in regions at risk,Evacuation from cruise ships,,"""9 Indonesians on board the Diamond Princess tested positive for the virus and were moved to treatment facilities in Japan. The Indonesian government repatriated and then quarantined the remaining 68 crew members, along with the 188 from the World Dream, onto the uninhabited Sebaru Kecil Island in the Thousand Islands off the coast of Jakarta.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Indonesia,12/03/2020,Social distancing,Work safety protocols,,Mandatory COVID-19 prevention equipment.,"""Indonesian Labour Minister Ida Fauziah mandated that all Indonesian companies provide their employees with coronavirus prevention equipment, such as face masks and hand sanitiser.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Jakarta,20/03/2020,Healthcare and public health capacity,Activate emergency response mechanisms,Declare emergency state,State of emergency declared for 14 days,"""Anies Baswedan declares a state of emergency in Jakarta for the next 14 days (2 April).""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Indonesia,IDN,Jakarta,20/03/2020,Social distancing,Mass gathering cancellation,"Festivals, faith-based events",Mosques halt Friday prayers and mass religious activites,"""Istiqlal mosque halted Friday prayer for 2 weeks after Anies Baswedan and Indonesian Council of Ulama requested to halt mass religious activities in Jakarta.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indonesia
Italy,ITA,10 municipalities in Lombardia and Veneto,02/03/2020,Travel restriction,Stop public transports,,,,gazzettaufficiale.it
Italy,ITA,10 municipality in Lombardia,21/02/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-14
Italy,ITA,10 municipality in Lombardia,21/02/2020,Social distancing,Closure of educational institutions,"Reduction of excursions, out-of-house events",,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-18
Italy,ITA,10 municipality in Lombardia,21/02/2020,Travel restriction,Cordon sanitaire,More than one city,,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-16
Italy,ITA,10 municipality in Lombardia,21/02/2020,Risk communication,Educate and actively communicate with the public,Recommendation for home office,,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-12
Italy,ITA,10 municipality in Lombardia,21/02/2020,Social distancing,Mass gathering cancellation,Complete prohibition of gathering,,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-17
Italy,ITA,10 municipality in Lombardia,21/02/2020,Social distancing,Mass gathering cancellation,"Conferences, meetings, trade fairs, etc.",,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-10
Italy,ITA,10 municipality in Lombardia,21/02/2020,Social distancing,Small gathering cancellation,Closure of non-essential public places,,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-13
Italy,ITA,10 municipality in Lombardia,21/02/2020,Social distancing,Small gathering cancellation,Closure of non-essential shops,,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-11
Italy,ITA,10 municipality in Lombardia,21/02/2020,Social distancing,Small gathering cancellation,Police and army control and sanctions,,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-16
Italy,ITA,Emilia Romagna,19/03/2020,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,Walks and bike riding forbidden,,gazzettaufficiale.it
Italy,ITA,"Emilia Romagna, Friuli Venezia Giulia, Lombardia, Veneto, Piemonte",25/02/2020,Social distancing,Mass gathering cancellation,"Conferences, meetings, trade fairs, etc.",,,gazzettaufficiale.it
Italy,ITA,"Emilia Romagna, Friuli Venezia Giulia, Lombardia, Veneto, Piemonte, Liguria",25/02/2020,Risk communication,Educate and actively communicate with the public,Recommendation for home office,,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-12
Italy,ITA,Italy,31/01/2020,Healthcare and public health capacity,Activate emergency response mechanisms,Declare emergency state,,Declaration of emergency state,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-12
Italy,ITA,Italy,22/01/2020,Healthcare and public health capacity,Activate emergency response mechanisms,Set up crisis units,national,set up task force,Italian health ministery salute.gov.it
Italy,ITA,Italy,23/01/2020,Risk communication,Actively communicate with healthcare professionals,"Sensitization of hospital establishments, medico-social establishments and liberal health professionals",,,
Italy,ITA,Italy,25/01/2020,Risk communication,Actively communicate with stakeholders,,,Meeting with the heads of the regions,Italian health ministery salute.gov.it
Italy,ITA,Italy,04/02/2020,"Case identification, contact tracing and related measures",Border health check,,,All airports and all harbors,Italian health ministery salute.gov.it
Italy,ITA,Italy,30/01/2020,Travel restriction,Border restriction,Borders closed for people from China,,Closed airports for flights from China,Italian health ministery salute.gov.it
Italy,ITA,Italy,25/02/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,"Complete closure of universities, research institutions",,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-17
Italy,ITA,Italy,02/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,,,gazzettaufficiale.it
Italy,ITA,Italy,25/02/2020,Social distancing,Closure of educational institutions,"Reduction of excursions, out-of-house events",,,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_in_Italia#cite_note-16
Italy,ITA,Italy,16/03/2020,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,,25 million euro,Italian health ministery salute.gov.it
Italy,ITA,Italy,04/02/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Twitter,The searches for corona on Twitter will suggest the health ministery website,Italian health ministery salute.gov.it
Italy,ITA,Italy,07/02/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Facebook,The searches for corona on Facebook will suggest the health ministery website,Italian health ministery salute.gov.it
Italy,ITA,Italy,25/02/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Spot in the national TV,,Italian health ministery salute.gov.it
Italy,ITA,Italy,01/03/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Communication on Facebook,The health minister writes on Facebook to follow the guidelines of the health institutions,Italian health ministery salute.gov.it
Italy,ITA,Italy,02/03/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,"hang in pulic spaces (schools, universities, offices and places of transit) the guidelines of the health ministery",,gazzettaufficiale.it
Italy,ITA,Italy,17/03/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Communication on Facebook,The health minister writes on Facebook a message of hope,Italian health ministery salute.gov.it
Italy,ITA,Italy,27/01/2020,Risk communication,Educate and actively communicate with the public,Answer to questions,provide telephone hotlines covid-19,,Italian health ministery salute.gov.it
Italy,ITA,Italy,30/01/2020,Risk communication,Educate and actively communicate with the public,Answer to questions,provide telephone hotlines covid-19,reinforcement of the hotline,Italian health ministery salute.gov.it
Italy,ITA,Italy,10/03/2020,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,Communication on Facebook,The health minister writes on Facebook a message of hope,Italian health ministery salute.gov.it
Italy,ITA,Italy,11/03/2020,Risk communication,Educate and actively communicate with the public,Enhance communication to the public,Communication on Facebook,The health minister writes on Facebook a message of hope,Italian health ministery salute.gov.it
Italy,ITA,Italy,02/03/2020,Healthcare and public health capacity,Enhance hand hygiene,Hand sanitizers in public spaces,,,gazzettaufficiale.it
Italy,ITA,Italy,02/03/2020,Healthcare and public health capacity,Enhance healthcare capacity,Enhance healthcare equipement,Increase number of PPE for healthcare professionals,,gazzettaufficiale.it
Italy,ITA,Italy,09/01/2020,Healthcare and public health capacity,Enhance healthcare capacity,Train medical staff specially for covid-19,Exercises,,Italian health ministery salute.gov.it
Italy,ITA,Italy,23/02/2020,Travel restriction,Individual movement restrictions,Non-essential movements forbidden,"Forbidden to leave the municipality one is in, also in the case the subject is not in its own household",,
Italy,ITA,Italy,02/03/2020,Social distancing,Mass gathering cancellation,(unspecified),,,gazzettaufficiale.it
Italy,ITA,Italy,02/03/2020,Social distancing,Measures for special populations,Measures to limit contact to hospital patients,Recommendation to reduce contact to hospital patients,,gazzettaufficiale.it
Italy,ITA,Italy,02/03/2020,Social distancing,Measures for special populations,Measures to limit contact to long-term care facilities,Recommendation to reduce contact to long-term care facilities,,gazzettaufficiale.it
Italy,ITA,Italy,09/03/2020,Travel restriction,National lockdown,,,,
Italy,ITA,Italy,21/02/2020,"Case identification, contact tracing and related measures",Quarantine,Contact persons,,Everybody that has been in contact with somebody infected with covid19 in the last 14 days is home-quarantined,Italian health ministery salute.gov.it
Italy,ITA,Italy,07/03/2020,Healthcare and public health capacity,Scale up emergency response mechanisms,Mobilize other forces,,Investments and hiring of health personnel,Italian health ministery salute.gov.it
Italy,ITA,Italy,08/02/2020,"Case identification, contact tracing and related measures",Enhance the system,Search for and/or monitor contacts,,Students and teachers of all schools coming from areas at risk are monitored by health system,Italian health ministery salute.gov.it
Italy,ITA,Italy,23/03/2020,Social distancing,Small gathering cancellation,Closure of non-essential working places,,"All non-essential firms, companies and factories closed",gazzettaufficiale.it
Italy,ITA,Italy,02/03/2020,Social distancing,Small gathering cancellation,Implement part-time work,,,gazzettaufficiale.it
Italy,ITA,Italy,22/01/2020,"Case identification, contact tracing and related measures",Specific health channel for travellers,from China,Wuhan,,
Italy,ITA,Italy,21/01/2020,"Case identification, contact tracing and related measures",Surveillance,,,,
Italy,ITA,Italy,14/03/2020,Social distancing,Work safety protocols,,,,Italian health ministery salute.gov.it
Italy,ITA,Milano Malpensa airport,26/01/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for passengers from Hubei,,,Italian health ministery salute.gov.it
Italy,ITA,Milano Malpensa airport,26/01/2020,Travel restriction,Airport restriction,,,,Italian health ministery salute.gov.it
Italy,ITA,Milano Malpensa and Rome Fiumicino airports,27/01/2020,Healthcare and public health capacity,Enhance healthcare capacity,Train medical staff specially for covid-19,Exercises,training for medical staff in the airports,Italian health ministery salute.gov.it
Italy,ITA,Rome,08/02/2020,"Case identification, contact tracing and related measures",Isolation of cases,,,,Italian health ministery salute.gov.it
Italy,ITA,Rome,03/02/2020,Social distancing,Return operation of nationals living in regions at risk,Hubei,Quarantine,First flight with Italians living in Wuhan land in Rome and are quarantined,Italian health ministery salute.gov.it
Italy,ITA,Rome,14/02/2020,Social distancing,Return operation of nationals living in regions at risk,Wuhan,Quarantine,17yo living in Wuhan land in Rome and is quarantined,Italian health ministery salute.gov.it
Italy,ITA,Rome Fiumicino,04/02/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for all passengers,,,Italian health ministery salute.gov.it
Italy,ITA,Rome Fiumicino airport,23/01/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature,,,Italian health ministery salute.gov.it
Italy,ITA,Rome Fiumicino airport,28/01/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature,,4 new scanners for temperature,Italian health ministery salute.gov.it
Italy,ITA,Rome Fiumicino airport,28/01/2020,"Case identification, contact tracing and related measures",Specific health channel for travellers,from China,Wuhan,,Italian health ministery salute.gov.it
Italy,ITA,Rome Fiumicino airports,24/01/2020,Travel restriction,Airport restriction,Denial entry of travellers from China,,,Italian health ministery salute.gov.it
Kuwait,KWT,Kuwait,03/03/2020,"Case identification, contact tracing and related measures",Airport health check,Health certificate requested,"Philippines, India, Bangladesh,
Egypt, Syria, Azerbaijan, Turkey, Sri Lanka, Georgia and Lebanon.",,https://www.kuna.net.kw/ArticleDetails.aspx?id=2873919&Language=en
Kuwait,KWT,Kuwait,01/03/2020,"Case identification, contact tracing and related measures",Airport health check,Measure temperature for passengers from high-risk areas other than China,,all coming from Syria and Egypt,https://www.kuna.net.kw/ArticleDetails.aspx?id=2871590&Language=en
Kuwait,KWT,Kuwait,01/03/2020,"Case identification, contact tracing and related measures",Airport health check,Quarantine all incoming people with fever,,all coming from Syria and Egypt,https://www.kuna.net.kw/ArticleDetails.aspx?id=2871590&Language=en
Kuwait,KWT,Kuwait,01/03/2020,"Case identification, contact tracing and related measures",Airport health check,Test all incoming people with fever or symptoms,,all coming from Syria and Egypt,https://www.kuna.net.kw/ArticleDetails.aspx?id=2871590&Language=en
Kuwait,KWT,Kuwait,05/03/2020,Travel restriction,Airport restriction,"Denial entry of travellers from ""high-risk"" countries other than China","Philippines, India,
Egypt, Syria, Sri Lanka and Lebanon.",,https://www.kuna.net.kw/ArticleDetails.aspx?id=2874571&Language=en
Kuwait,KWT,Kuwait,25/03/2020,Risk communication,Call for return of nationals living abroad,,,"living in  Egypt, Lebanon, Bahrain",https://www.kuna.net.kw/ArticleDetails.aspx?id=2881208&Language=en
Kuwait,KWT,Kuwait,19/02/2020,Travel restriction,Cancellation of international flights,Toal,Iran,Land border with Iran closed as well,https://www.kuna.net.kw/ArticleDetails.aspx?id=2864468
Kuwait,KWT,Kuwait,24/02/2020,Travel restriction,Cancellation of international flights,Toal,"South Korea, Thailand and Italy",Non Kuwaitis with residence permit in Kuwait forbidden to enter as well,https://www.kuna.net.kw/ArticleDetails.aspx?id=2865545
Kuwait,KWT,Kuwait,01/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,Complete closure of kindergardens,,https://www.kuna.net.kw/ArticleDetails.aspx?id=2868838
Kuwait,KWT,Kuwait,01/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,Complete closure of primary and secondary schools,,https://www.kuna.net.kw/ArticleDetails.aspx?id=2868838
Kuwait,KWT,Kuwait,01/03/2020,Social distancing,Closure of educational institutions,Complete closure of educational institutions,"Complete closure of universities, research institutions",,https://www.kuna.net.kw/ArticleDetails.aspx?id=2868838
Kuwait,KWT,Kuwait,22/02/2020,Social distancing,Curfew,,,partial,https://www.kuna.net.kw/ArticleDetails.aspx?id=2880738&Language=en
Kuwait,KWT,Kuwait,10/03/2020,Risk communication,Educate and actively communicate with the public,Activate communication to the public,"Airport, Universities",,https://www.kuna.net.kw/ArticleDetails.aspx?id=2875141&Language=en
