"parent","link","child","value"
"Alcohol sellers","L3-L4","Alcoholic beverages can be delivered",5
"Allow movements for non-essential activities","L3-L4","Countrywide",1
"Allow movements for non-essential activities","L3-L4","Fishing allowed",1
"Allow movements for non-essential activities","L3-L4","In areas with a low risk of transmission",2
"Allow movements for non-essential activities","L3-L4","Inside the localities",2
"Allow non-essential travel in the country/state","L3-L4","Allow to go to secondary residence",1
"Allow religious gatherings outdoor","L3-L4","Limit up to 16 persons",1
"Allow visits in long-term care facilities","L3-L4","One pre-designated person - no symptoms",1
"Ambulances","L3-L4","",1
"Ambulances","L3-L4","Donation: One ambulance",1
"Announce extension of the restrictions","L3-L4","",1
"Answer to questions","L3-L4","Communication with nationales living in China",1
"Answer to questions","L3-L4","Corona dashboard",1
"Answer to questions","L3-L4","Covid-19 hotline specifically to answer questions on women health",1
"Answer to questions","L3-L4","Educational video by cantonal doctor",1
"Answer to questions","L3-L4","FAQ on income support",1
"Answer to questions","L3-L4","For workers in certain services",1
"Answer to questions","L3-L4","Help desk for businesses",1
"Answer to questions","L3-L4","Hotline for special assistance abroad",1
"Answer to questions","L3-L4","Mobile application on Covid-19 called beSafeMoris",1
"Answer to questions","L3-L4","New media platforms",1
"Answer to questions","L3-L4","Official webpage with COVID-19 information",20
"Answer to questions","L3-L4","Online service covid-19",6
"Answer to questions","L3-L4","Online symptom checker",1
"Answer to questions","L3-L4","Publish answersto questions on precautionary measures",1
"Answer to questions","L3-L4","Reporters will ask questions via online group chat room",1
"Answer to questions","L3-L4","Telephone hotline covid-19",48
"Answer to questions","L3-L4","Via Whatspp with automated ‘chatbot’",1
"Answer to questions","L3-L4","WhatsApp",1
"Answer to questions","L3-L4","WHO representative in Romania on a TV Show",1
"Approval of new biocidal product","L3-L4","",1
"Assistance on the cruise ship Diamond Princess","L3-L4","",1
"Asymptomatic carriers","L3-L4","Provide treatment",1
"Ban export of necessity goods","L3-L4","Food",1
"Ban export of necessity goods","L3-L4","Wheat flour",1
"Ban on all air traffic from countries outside the European Union","L3-L4","",1
"Ban on exportation of medical equipment and drugs","L3-L4","",6
"Ban on exportation of medical equipment and drugs","L3-L4","antibiotics and narcotic analgesics and hypnotics",1
"Ban on exportation of medical equipment and drugs","L3-L4","Drug hydroxychloroquine sulfate",1
"Ban on exportation of medical equipment and drugs","L3-L4","Medical equipment",1
"Ban on exportation of medical equipment and drugs","L3-L4","Medical equipment, devices and materials",1
"Ban on exportation of medical equipment and drugs","L3-L4","Respirators and cardiomonitors",1
"Ban on passenger transport from China","L3-L4","Busses from China",1
"Ban on passenger transport from China","L3-L4","Trains from China",1
"Ban on road passenger transport from high risk areas","L3-L4","Passengers from Austria, Belgium, Switzerland, France, Germany, Italy,  Iran, UK, Netherlands, Spain,Turkey",1
"Beds","L3-L4","",11
"Beds","L3-L4","850 beds",1
"Beds","L3-L4","Executive Order mandating hospitals to increase capacity by at Least 50 Percent",1
"Beds","L3-L4","Help from the army",1
"Beds","L3-L4","Jakarta provincial government prepared 500 to 1,000 beds",1
"Beds","L3-L4","more than 1800 beds made available",1
"Beds","L3-L4","Reception centers",1
"Beds","L3-L4","Suspend regulations to allow existing hospitals to increase space and capacity, goal 9000 beds",1
"Boarding from Taiwan prohibited","L3-L4","No boarding from Taiwan",1
"Border control","L3-L4","",1
"Border control","L3-L4","Germany and Czechia",1
"Border control","L3-L4","Land border controls",2
"Border control","L3-L4","Restrict entry by land and by air from Italy, France, Germany, Austria and Spain, and non-Schengen States",1
"Border control","L3-L4","Restrictions at land and sea borders",2
"Border control","L3-L4","Russia, Belarus, Ukraine, Lithuania and Slovakia",1
"Broaden definition / special definition","L3-L4","Broaden definition of cases: Includes also suspected illness",1
"Broaden definition / special definition","L3-L4","Broaden definition of suspected cases",4
"Broaden definition / special definition","L3-L4","Interim national case definition",1
"Call for return of nationals living abroad","L3-L4","",11
"Call for return of nationals living abroad","L3-L4","Finnish Government calls for all nationals travelling abroad to return to Finland.",1
"Call for return of nationals living abroad","L3-L4","Governmental support provided",1
"Call for return of nationals living abroad","L3-L4","Nationals in China",1
"Call for return of nationals living abroad","L3-L4","Nationals living in Wuhan: Government offers charter aircrafts",1
"Call for return of nationals living abroad","L3-L4","request to Romanians to shorten stay in Spain, Germany, France and return immediately to Romania",1
"Call for return of nationals living abroad","L3-L4","Smartphone app developed to get government support",1
"Call for return of nationals living abroad","L3-L4","Students",1
"Call for return of nationals living abroad","L3-L4","Support from the government for the return of nationals living abroad",1
"Call for return of nationals living abroad","L3-L4","Tourists in Spain",1
"Call on the religious authorities","L3-L4","Call on the religious authorities to accompany the government in the implementation of the measures",2
"Call on the religious authorities","L3-L4","Calls on the religious authorities to accompany the government in the implementation of the measures",1
"Campaign for domestic medical equipement","L3-L4","",1
"Cancellation of domestic flights","L3-L4","",5
"Cancellation of domestic flights","L3-L4","Restricted domestic flights : Balearic Islands",1
"Cancellation of domestic flights","L3-L4","Restricted domestic flights : Canary Islands",1
"Cancellation of exams","L3-L4","Primary and secondary schools",3
"Cancellation of exams","L3-L4","Universities and colleges",1
"Cancellation of international flights","L3-L4","",7
"Cancellation of international flights","L3-L4","All",1
"Cancellation of international flights","L3-L4","Except for humanitarian and medical transport",2
"Cancellation of international flights","L3-L4","Four domestic flights maintained",1
"Cancellation of international flights","L3-L4","From Italy and Spain",1
"Cancellation of international flights","L3-L4","Partial cancellation of flights: Honk-Kong",1
"Cancellation of international flights","L3-L4","Partial cancellation of flights: Shanghai",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights",6
"Cancellation of international flights","L3-L4","Partial cancellation of international flights : high-risk areas",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Asian countries",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Azerbaijan",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: China",9
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: China and Korea",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: commercial flights",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: France and Germany",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: France, l’Espagne, la Belgique, Italie,Portugal, Algérie, Tunisie",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Greece",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: high-risk areas",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: High risk areas",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Hong Kong",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Hong Kong and Macau",3
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Iran",2
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Italy",5
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Italy, France, Spain, Germany, Austria, Belgium, Switzerland, UK, Netherlands, Turkey",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Italy, Spain",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Japan",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Nanjing and Beijing",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Northern Italy",2
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Northern Italy and Israel",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: South Korea",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: South Korea, Iran and Northern Italy",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: South Korea, Thailand and Italy",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Spain",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: United Kingdom",1
"Cancellation of international flights","L3-L4","Partial cancellation of international flights: Wuhan and Hubei",1
"Cancellation of international flights","L3-L4","Partial: Brazil other than Rio de Janeiro and Sao Paulo",1
"Cancellation of international flights","L3-L4","Partial: countries outside the EU/EEA, except for the UK, US, Canada, Venezuela, South Africa, and Portuguese speaking countries",1
"Cancellation of international flights","L3-L4","To and from Spain",1
"Cancellation of international flights","L3-L4","Total",9
"Cancellation of international flights","L3-L4","Total: Last regular AUA flight lands in Vienna",1
"Case management","L3-L4","Hospitals prepared to treat Covid-19 patients",13
"Case tracking and monitoring during home isolation","L3-L4","Compulsory digital cuffs",1
"Case tracking and monitoring during home isolation","L3-L4","Via mobile phone: Mandatory",2
"City hall","L3-L4","customer service restricted to online customer portal, e-mail, or post",1
"Classes with exams only","L3-L4","Final year junior high school",1
"Classes with exams only","L3-L4","Schools",1
"Classes with exams only","L3-L4","Secondary and high schools",1
"Classes with exams only","L3-L4","Senior high school",1
"Classes with exams only","L3-L4","Universities",1
"Clinical trials on COVID-19","L3-L4","",5
"Clinical trials on COVID-19","L3-L4","anti-influenza medication, Avigan (Favipiravir)",1
"Clinical trials on COVID-19","L3-L4","Clinical trial on preventive treatment in the frontline worker population",1
"Clinical trials on COVID-19","L3-L4","FDA approval for study",1
"Clinical trials on COVID-19","L3-L4","Ministry of Health approval",1
"Clinical trials on COVID-19","L3-L4","Trials on COVID-19 treatment",1
"Close land border to prevent virus spread","L3-L4","Bangladesh and Myanmar",1
"Close land border to prevent virus spread","L3-L4","Bangladesh, Nepal, Bhutan and Myanmar",1
"Closure of adult daycare facilities","L3-L4","",2
"Closure of adult daycare facilities","L3-L4","Closure of rehabilitation institutions",2
"Closure of adult daycare facilities","L3-L4","Closure of senior centers and adult daycare facilities",2
"Closure of adult daycare facilities","L3-L4","Closure of senior citizen centers and adult daycare facilities",3
"Closure of adult educational schools","L3-L4","Remote teaching",1
"Closure of discotheques","L3-L4","",3
"Closure of markets","L3-L4","",3
"Closure of markets","L3-L4","Enhance social distancing measures",1
"Closure of markets","L3-L4","Limit the number of people",1
"Closure of markets","L3-L4","Open-air markets closed",1
"Closure of markets","L3-L4","Partial: when sufficient distance is not respected",1
"Closure of non-essential public places","L3-L4","",20
"Closure of non-essential public places","L3-L4","All",1
"Closure of non-essential public places","L3-L4","Ban on sitting in public places",1
"Closure of non-essential public places","L3-L4","ban the use of Seoul plaza, Cheonggye plaza and Gwanghwamun plaza",1
"Closure of non-essential public places","L3-L4","barbershop, beauty studios, massage practice, etc",1
"Closure of non-essential public places","L3-L4","baths, zoo",1
"Closure of non-essential public places","L3-L4","Beaches",3
"Closure of non-essential public places","L3-L4","children playgrounds",1
"Closure of non-essential public places","L3-L4","Children playgrounds",1
"Closure of non-essential public places","L3-L4","Closure of French coasts",1
"Closure of non-essential public places","L3-L4","Closure of palces of public amusement",1
"Closure of non-essential public places","L3-L4","Closure of public squares and beaches",1
"Closure of non-essential public places","L3-L4","Complete",3
"Closure of non-essential public places","L3-L4","Greenery and public forest areas",1
"Closure of non-essential public places","L3-L4","Holiday parks: when 1,5m distance not possible",1
"Closure of non-essential public places","L3-L4","Libraries, children playgrounds, leisure places, brothel, tourist bus trips",1
"Closure of non-essential public places","L3-L4","nightclubs, pubs, entertainment places",1
"Closure of non-essential public places","L3-L4","parks, playgrounds",1
"Closure of non-essential public places","L3-L4","Parks, playgrounds, beaches, boulevards, promenades",1
"Closure of non-essential public places","L3-L4","Partial closure of some beaches",1
"Closure of non-essential public places","L3-L4","Partial closure of some national parks",1
"Closure of non-essential public places","L3-L4","recreational places",1
"Closure of non-essential public places","L3-L4","Seaside and sea activities",1
"Closure of non-essential public places","L3-L4","Waterfront",1
"Closure of non-essential public places","L3-L4","Zoos, children playgrounds, campings places",1
"Closure of non-essential public places","L3-L4","Zoos, sports facilities und children playgrounds.",1
"Closure of non-essential shops","L3-L4","",46
"Closure of non-essential shops","L3-L4","All",2
"Closure of non-essential shops","L3-L4","All in-person retail businesses that are not life-sustaining",2
"Closure of non-essential shops","L3-L4","All indoor common portions of retail shopping malls with in excess of 100,000 square feet of retail space available for lease ",1
"Closure of non-essential shops","L3-L4","All non-essential retail outlets, stores, and services are to close until at least 19th April",1
"Closure of non-essential shops","L3-L4","Barber shops, tattoo parlors",1
"Closure of non-essential shops","L3-L4","barbershops, hair salons, tattoo or piercing parlors and related personal care (nail technicians, cosmetologists, estheticians, electrolyse, laser hair removal services) closed to the public",1
"Closure of non-essential shops","L3-L4","Closure of barber shops, hair salons, waxing salons, thrading salons, nail salons and spas, body art facilities and tattoo services, massage therapy establishments and services",1
"Closure of non-essential shops","L3-L4","Closure of florists, jewelry stores, book stores, clothing stores, luggage stores, cosmetic, beauty and perfume stores, and furniture stores",1
"Closure of non-essential shops","L3-L4","Closure of food & beverage outlets and convenience stores in gardens",1
"Closure of non-essential shops","L3-L4","Closure of hair salons",1
"Closure of non-essential shops","L3-L4","Closure of hairdressers, beauticians, make-up artists, pedicures, nail salons, driving instructors and tattooists, and other professions in the field of extra-care",1
"Closure of non-essential shops","L3-L4","Closure of large shopping malls",1
"Closure of non-essential shops","L3-L4","Closure of malls, cigarette, tobacco and vaping stores, toy, gaming, music, movie stores",1
"Closure of non-essential shops","L3-L4","Closure of off-track betting facility operations",1
"Closure of non-essential shops","L3-L4","Closure of salons, medical spas, barbershops, tattoo extalishments, tanning facilities, massage therapy extablishments, and swimming pools",1
"Closure of non-essential shops","L3-L4","Closure on week-end",1
"Closure of non-essential shops","L3-L4","Complete",1
"Closure of non-essential shops","L3-L4","Enclosed malls",1
"Closure of non-essential shops","L3-L4","Hairdressers, cosmetics, pedicure services",1
"Closure of non-essential shops","L3-L4","Hairdressers, cosmetics, pedicure services, gaming",1
"Closure of non-essential shops","L3-L4","hairdressing, cosmetics, pedicure services, gaming",1
"Closure of non-essential shops","L3-L4","Located in shopping centers/malls",1
"Closure of non-essential shops","L3-L4","Nail salons, hair salons, barber shops, massage therapy sevices, tattoo, body art and piercing shops, and cosmetology, electrology, and esthetic services",2
"Closure of non-essential shops","L3-L4","Partial",5
"Closure of non-essential shops","L3-L4","Public access restricted",1
"Closure of non-essential shops","L3-L4","Sao Paulo",1
"Closure of non-essential shops","L3-L4","total",1
"Closure of non-essential shops","L3-L4","Video lottery gaming and casino gaming",1
"Closure of non-essential working places","L3-L4","",18
"Closure of non-essential working places","L3-L4","Access to government buildings restricted to services essential to public health and safety",1
"Closure of non-essential working places","L3-L4","All",2
"Closure of non-essential working places","L3-L4","all industrial production activities are suspended commercial, with the exception of those indicated in Annex 1 and save the following. Professional activities are not the forecasts referred to in Article 1, point 7 remain suspended and Decree of the President of the Council of Ministers 11 March 2020.",1
"Closure of non-essential working places","L3-L4","All state government buildings closed to the public",3
"Closure of non-essential working places","L3-L4","Allowed to work only when in essential business or operations",1
"Closure of non-essential working places","L3-L4","Closure at night of all business stores",2
"Closure of non-essential working places","L3-L4","Closure maquila industry and call centers",1
"Closure of non-essential working places","L3-L4","Closure of public services",1
"Closure of non-essential working places","L3-L4","From March 30 to April 30, 2020",1
"Closure of non-essential working places","L3-L4","Government offices",1
"Closure of non-essential working places","L3-L4","In-person work that is not necessary to sustain or protect life is prohibited",1
"Closure of non-essential working places","L3-L4","Movement Control Order 18 March",1
"Closure of non-essential working places","L3-L4","non-essential gov and private services",1
"Closure of non-essential working places","L3-L4","Partial: all public-facing activities",1
"Closure of non-essential working places","L3-L4","Public-facing business that cannot respect rules of social distancing",1
"Closure of non-essential working places","L3-L4","Special permit required for essential workers to go to workplace",1
"Closure of restaurants/bars/cafes","L3-L4","",9
"Closure of restaurants/bars/cafes","L3-L4","Bars",5
"Closure of restaurants/bars/cafes","L3-L4","bars, restaurants",1
"Closure of restaurants/bars/cafes","L3-L4","Closure of bars",1
"Closure of restaurants/bars/cafes","L3-L4","Closure of bars, taverns, brew pubs, breweries, microbreweries, distilleries, wineries, tasting rooms, special licensees, clubs, and other places of public accommodation offering alcoholic beverages for on-premises consumption",1
"Closure of restaurants/bars/cafes","L3-L4","Only delivery",7
"Closure of restaurants/bars/cafes","L3-L4","Only delivery and take-away",2
"Closure of restaurants/bars/cafes","L3-L4","partial",1
"Closure of restaurants/bars/cafes","L3-L4","Partial",24
"Closure of restaurants/bars/cafes","L3-L4","Partial- (restaurants in shopping malls over 5000m^2)",1
"Closure of restaurants/bars/cafes","L3-L4","Partial (22:00 to 6:00)",1
"Closure of restaurants/bars/cafes","L3-L4","Partial closure of cafes and restaurants",1
"Closure of restaurants/bars/cafes","L3-L4","Partial or total",1
"Closure of restaurants/bars/cafes","L3-L4","Partial: can offer delivery or pick-up services",1
"Closure of restaurants/bars/cafes","L3-L4","Partial: only carry-on or drive-trhough and delivery",1
"Closure of restaurants/bars/cafes","L3-L4","Partial: part-time and 50% capacity",1
"Closure of restaurants/bars/cafes","L3-L4","Partial: remain open for take-out and delivery",2
"Closure of restaurants/bars/cafes","L3-L4","Partial: restaurants with liquor license can sell alcohol off premises",1
"Closure of restaurants/bars/cafes","L3-L4","Partial: restaurants with liquor license can sell more alcohol off premises",1
"Closure of restaurants/bars/cafes","L3-L4","Pubs",1
"Closure of restaurants/bars/cafes","L3-L4","Restaurants",2
"Closure of restaurants/bars/cafes","L3-L4","Restaurants - Partial",1
"Closure of restaurants/bars/cafes","L3-L4","Restaurants, partial",1
"Closure of restaurants/bars/cafes","L3-L4","take-away allowed",1
"Closure of restaurants/bars/cafes","L3-L4","total",1
"Closure of restaurants/bars/cafes","L3-L4","Total",14
"Closure of restaurants/bars/cafes","L3-L4","Total closure of all pubs and bars.",1
"Closure of restaurants/bars/cafes","L3-L4","Total closure of restaurants/bars/cafes",10
"Closure of short-term accomodation","L3-L4","",3
"Closure of short-term accomodation","L3-L4","All lodging operations and accomodations",2
"Closure of short-term accomodation","L3-L4","Hotels",2
"Closure of short-term accomodation","L3-L4","Partial: Remain open at day",1
"Closure of short-term accomodation","L3-L4","Vacation rental suspended",1
"Closure of student dormitories","L3-L4","Closure for 14 days",1
"Communicate with social service professionals","L3-L4","",1
"Communication targets nationals living abroad","L3-L4","Ask citizen living abroad to postpone their return",1
"Communication targets nationals living abroad","L3-L4","Call for the respect of the local measures",1
"Communication targets protection of vulnerable populations","L3-L4","Campaign for mental health during covid-19 crisis",1
"Communication targets protection of vulnerable populations","L3-L4","Campaign for protecting the elderly",4
"Communication targets protection of vulnerable populations","L3-L4","Hotline for psychological support during covid-19 crisis",1
"Communication targets protection of vulnerable populations","L3-L4","Infection prevention/control manager is designated in high-risk communities",1
"Communication targets protection of vulnerable populations","L3-L4","Launch psychic emergency helpline",1
"Communication targets protection of vulnerable populations","L3-L4","Measures to limit contact to the elderly",1
"Communication targets protection of vulnerable populations","L3-L4","Persons with a medical condition",1
"Communication targets protection of vulnerable populations","L3-L4","Promote the 2m distance towards vulnerable persons",2
"Communication targets protection of vulnerable populations","L3-L4","Promote the use of face masks in presence of vunerable people",1
"Communication targets protection of vulnerable populations","L3-L4","Protection of the elderly: social media, telephone calls, posters, voice message on the phone from the mayor ",1
"Communication targets protection of vulnerable populations","L3-L4","Protection of women and children against domestic violence",3
"Communication targets protection of vulnerable populations","L3-L4","Recommend not to visit vulnerable persons",1
"Communication targets protection of vulnerable populations","L3-L4","Recommendation to reduce contact to hospital patients",2
"Compensention fund from foreign aid","L3-L4","",1
"Complete closure of all educational institutions","L3-L4","",10
"Complete closure of all educational institutions","L3-L4","All",2
"Complete closure of all educational institutions","L3-L4","All with exceptions",1
"Complete closure of all educational institutions","L3-L4","Kindergartens, primary and secondary schools, universities",30
"Complete closure of all educational institutions","L3-L4","local/regional areas affected by the ""Isreal-return-cases""",1
"Complete closure of kindergartens","L3-L4","",67
"Complete closure of kindergartens","L3-L4","Extended holidays",1
"Complete closure of primary and secondary schools","L3-L4","",95
"Complete closure of primary and secondary schools","L3-L4","Closure of junior colleges",1
"Complete closure of primary and secondary schools","L3-L4","Complete closure of private schools",1
"Complete closure of primary and secondary schools","L3-L4","Exception children of key workers and vulnerable children",1
"Complete closure of primary and secondary schools","L3-L4","Extended holidays",1
"Complete closure of primary and secondary schools","L3-L4","One school",1
"Complete closure of primary and secondary schools","L3-L4","Primary schools",1
"Complete closure of research institutes","L3-L4","National research institutes",1
"Complete closure of scientific institutions","L3-L4","Academy of Sciences",1
"Complete closure of secondary schools","L3-L4","",1
"Complete closure of universities","L3-L4","",42
"Complete closure of universities","L3-L4","Closure of police officier training courses",1
"Complete closure of universities","L3-L4","Closure of universities",1
"Complete closure of universities","L3-L4","Extended holidays",1
"Complete prohibition of gathering","L3-L4","",30
"Complete prohibition of gathering","L3-L4","Bans on gathering of non-household members",1
"Complete prohibition of gathering","L3-L4","Except 5 co-workers or persons from same household",2
"Complete prohibition of gathering","L3-L4","Groups of more than 3 people are not allowed to gather",1
"Complete prohibition of gathering","L3-L4","Movement Control Order 18 March",1
"Conditional entry of citizens","L3-L4","Home quarantine or negative PCR test",2
"Conditional entry of citizens and EU citizens","L3-L4","14 day home quarantine",1
"Conditional entry of citizens and EU citizens","L3-L4","Home quarantine or negative PCR test",1
"Conditional entry of persons from neighboring countries","L3-L4","Negative PCR test",1
"Conditional entry of persons from neighboring countries","L3-L4","Negative PCR test < 4 days",1
"Conferences, meetings, trade fairs, etc.","L3-L4","",17
"Conferences, meetings, trade fairs, etc.","L3-L4","Barcelona's Mobile World Congress was cancelled",1
"Conferences, meetings, trade fairs, etc.","L3-L4","Electronic meeting of public bodies allowed",1
"Conferences, meetings, trade fairs, etc.","L3-L4","Indoor cancelled",1
"Conferences, meetings, trade fairs, etc.","L3-L4","Meetings of the parliament",1
"Conferences, meetings, trade fairs, etc.","L3-L4","Politics and at work",1
"Contact persons","L3-L4","",16
"Contact persons","L3-L4","14 day home quarantine",1
"Contact persons","L3-L4","Epidemiological surveillance of contacts",1
"Contact persons","L3-L4","Foreign constrution workers",1
"Contact persons","L3-L4","Mandatory",1
"Contact persons","L3-L4","Mandatory, 14 days",3
"Contact persons","L3-L4","Observation of health for highly contacted persons, request to refrain from going out, etc",1
"Contact persons","L3-L4","The 100 people who were brought back from Wuhan are quarantined for two weeks",1
"Contact persons","L3-L4","Those known to have been in contact with a confirmed COVID-19 case are placed in quarantine.",1
"Contact tracing","L3-L4","",14
"Contact tracing","L3-L4","All passengers from Westerdam",1
"Contact tracing","L3-L4","Close contacts are isolated",2
"Contact tracing","L3-L4","Close contacts are monitored",1
"Contact tracing","L3-L4","Directions how to investigate cluster occurrence",1
"Contact tracing","L3-L4","Expanded tracing",1
"Contact tracing","L3-L4","First case",1
"Contact tracing","L3-L4","Monitoring and isolating contacts",1
"Contact tracing","L3-L4","Monitoring contacts",5
"Contact tracing","L3-L4","Nationals who travelled to at risk areas",1
"Contact tracing","L3-L4","Questions from the doctor",1
"Contact tracing","L3-L4","Test and quarantine",7
"Contact tracing","L3-L4","Test contacts",1
"Contact tracing","L3-L4","Travel companions identified, contacted and tested if still in Singapore",1
"Contact tracking","L3-L4","",6
"Contact tracking","L3-L4","App ""StopKorona!""  : Voluntary",1
"Contact tracking","L3-L4","App ""TraceTogether""  : Voluntary",1
"Contact tracking","L3-L4","By the health authorities",1
"Contact tracking","L3-L4","Enhanced to 'second degree contact'",1
"Contact tracking","L3-L4","Epidemiological investigation",1
"Contact tracking","L3-L4","Monitor symptoms via mobile phone",1
"Contact tracking","L3-L4","Monitoring contacts",1
"Contact tracking","L3-L4","Passengers who disembarked in Taiwan",1
"Contact tracking","L3-L4","Phone app: Voluntary",1
"Contact tracking","L3-L4","Phone tracing app",1
"Contact tracking","L3-L4","Test",1
"Contact tracking","L3-L4","Via mobile phone: Voluntary",2
"Covid-19 as a notifiable disease","L3-L4","",16
"Covid-19 as a notifiable disease","L3-L4","Guidance for sample Collection, Packaging and Transportation for Novel Coronavirus",1
"Covid-19 as a notifiable disease","L3-L4","Infection Protection Act",1
"Cultural places and events","L3-L4","",21
"Cultural places and events","L3-L4","Celebrations of Chinese New Year",1
"Cultural places and events","L3-L4","Charitable gaming licenses",1
"Cultural places and events","L3-L4","cinemas",1
"Cultural places and events","L3-L4","Cinemas",12
"Cultural places and events","L3-L4","Cinemas, performance spaces and arenas.",1
"Cultural places and events","L3-L4","cinemas, pubs, discos",1
"Cultural places and events","L3-L4","Closure of entertainment venues",1
"Cultural places and events","L3-L4","Closure of libraries",2
"Cultural places and events","L3-L4","Closure of movie theatres",2
"Cultural places and events","L3-L4","Closure of museums",1
"Cultural places and events","L3-L4","Closure of museums, galleries and tourism sites",1
"Cultural places and events","L3-L4","Closure of theatres and cinemas",1
"Cultural places and events","L3-L4","Closure of theatres, cinemas, and indoor and outdoor performance venues",1
"Cultural places and events","L3-L4","Indoor cancelled",1
"Cultural places and events","L3-L4","Indoor events limited up to 100 people",1
"Cultural places and events","L3-L4","Libraries and museums",1
"Cultural places and events","L3-L4","Libraries, archives, museums",1
"Cultural places and events","L3-L4","Movie theatres",1
"Cultural places and events","L3-L4","Museums",2
"Cultural places and events","L3-L4","Museums, cultural and social centres, theatres",1
"Cultural places and events","L3-L4","Partial",1
"Cultural places and events","L3-L4","Partial closure of theatres",1
"Cultural places and events","L3-L4","Places of entertainment, theatres, public places for performances, museums, public libraries",2
"Cultural places and events","L3-L4","Public-facing business that cannot respect rules of social distancing",1
"Cultural places and events","L3-L4","Theatres",4
"Cultural places and events","L3-L4","Theatres, cinemas, concerts, and museums",3
"Cultural places and events","L3-L4","theatres, cinemas, concerts, etc.",14
"Cultural places and events","L3-L4","Theatres, cinemas, concerts, etc.",22
"Cultural places and events","L3-L4","Theatres, concert events",1
"Cultural places and events","L3-L4","Theatres, galleries, museums",1
"Cultural places and events","L3-L4","Touristic destinations shut down",3
"Curfew","L3-L4","",21
"Curfew","L3-L4","20:00 - 5:00",2
"Curfew","L3-L4","approved on 7 April and is set to take effect from 10 April for at least two weeks",1
"Curfew","L3-L4","Expanded to weekend",1
"Curfew","L3-L4","Extend national curfew to weekend in this area",1
"Curfew","L3-L4","For the ederly",1
"Curfew","L3-L4","From 8 p.m. to 6 a.m.",1
"Curfew","L3-L4","Night",1
"Curfew","L3-L4","Recommendation to limit people movement only for essential reasons between hours 6:00-22:00",1
"Curfew","L3-L4","Time restriction",1
"Daily press conference","L3-L4","",1
"Declare state of emergency","L3-L4","",70
"Declare state of emergency","L3-L4","7 prefectures",1
"Declare state of emergency","L3-L4","Declare emergency state: Major Disaster",1
"Declare state of emergency","L3-L4","Declare extreme emergency state",1
"Declare state of emergency","L3-L4","Emergency period for 91 days.",1
"Declare state of emergency","L3-L4","Emergency phase",1
"Declare state of emergency","L3-L4","Health emergency",1
"Declare state of emergency","L3-L4","Level 2 (of 3)",1
"Declare state of emergency","L3-L4","National",2
"Declare state of emergency","L3-L4","Public calamity situation",2
"Declare state of emergency","L3-L4","State of emergency declared",1
"Declare state of emergency","L3-L4","State of epidemic emergency",1
"Declare state of emergency","L3-L4","Statewide",1
"Decongestion of administrative institutions","L3-L4","Administrative hearing may be conducted by telephone or video conference without the parties being physically present",2
"Decongestion of administrative institutions","L3-L4","Allow remote notarization",1
"Decongestion of administrative institutions","L3-L4","Deadline for expiration of documents extended",1
"Decongestion of administrative institutions","L3-L4","Develop a plan to reduce density in court system",1
"Decongestion of administrative institutions","L3-L4","Digital driver's licence",1
"Decongestion of administrative institutions","L3-L4","Distance court hearings and depositions",3
"Decongestion of administrative institutions","L3-L4","Extension of administrative deadlines",2
"Decongestion of administrative institutions","L3-L4","Extension of boating registration renewal deadlines",1
"Decongestion of administrative institutions","L3-L4","Extension of driving licence",17
"Decongestion of administrative institutions","L3-L4","Extension of work licenses",2
"Decongestion of administrative institutions","L3-L4","Implement remote administrative procedures",2
"Decongestion of administrative institutions","L3-L4","Marriage license via videoconference",1
"Decongestion of administrative institutions","L3-L4","Online administrative service",1
"Decongestion of administrative institutions","L3-L4","Simplified hearing and incarceration procedures for minors",1
"Decongestion of administrative institutions","L3-L4","Validity prolongation of documents issued by public authorities",1
"Decongestion of administrative institutions","L3-L4","Waive in-person identification requirements for certain procedures",1
