"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"620","Risk communication","Educate and actively communicate with the public","Use of public transport","Discourage use of public transport"
"631","Social distancing","Mass gathering cancellation","Meetings of the parliament",""
"633","Social distancing","Measures for special populations","Measures to limit contact to the elderly","require all healthcare workers that have travelled to a region of high risk to stay at home for two weeks"
"634","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Strong recommendation that elderly do not take care of children."
"636","Social distancing","Measures for public transport","Increase service","More busses and trains added to the schedule"
"637","Social distancing","Measures for public transport","Specific measures to avoid congestion","Stricter limits on number of passengers allowed in public transports : Busses and trains"
"638","Case identification, contact tracing and related measures","Testing strategy","Restricted testing","Only people hospitalized with severe signs of respiratory illness will be tested"
"640","Social distancing","Small gathering cancellation","Closure of non-essential shops","total"
"641","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","total"
"644","Travel restriction","Public transport restriction","Train restriction","Only reserved seats allowed"
"646","Risk communication","Educate and actively communicate with the public","Advice on hygiene and appropriate behavior in the public space","In shops and supermarkets, posters"
"647","Social distancing","Special measures for certain establishments","Food services","Ease legislation on deliveries"
"648","Risk communication","Actively communicate with healthcare professionals","Guidelines","For handling pregnant women"
"649","Risk communication","Actively communicate with healthcare professionals","Recommendations for vulnerable populations","Drug users"
"650","Social distancing","Measures for special populations","Vulnerable populations","Homeless persons"
"651","Risk communication","Educate and actively communicate with the public","Information campaign","All citizens >15 yo receive an email"
"652","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support suspension of employment"
"653","Risk communication","Actively communicate with healthcare professionals","Guidelines","Testing strategy"
"655","Social distancing","Special measures for certain establishments","Aircrafts and airports","Protocols"
"656","Resource allocation","Police and army interventions","To enforce social distancing","At the airport"
"657","Risk communication","Actively communicate with stakeholders","Campaign for domestic medical equipement",""
"658","Risk communication","Educate and actively communicate with the public","Advice for special populations","Homeless persons"
"659","Returning to normal life","Conditional re-opening of services","Theoritical training for car driving schools","If social distancing measures are respected"
"660","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Elderly"
"661","Resource allocation","Police and army interventions","In case test, isolation or treatment of patient is compromised",""
"663","Returning to normal life","Guidelines of adaptive measures","Guidelines fo re-opening of educational institutions and leisure facilities",""
"664","Risk communication","Actively communicate with stakeholders","Encourage to reduce burden on public transport",""
"665","Returning to normal life","Guidelines of adaptive measures","Guidelines for re-opening youth and adult education places",""
"666","Returning to normal life","Guidelines of adaptive measures","Guidelines for work-safety protocols",""
"667","Risk communication","Educate and actively communicate with the public","Launch health App",""
"668","Risk communication","Actively communicate with stakeholders","Guidelines","Use of PPE for health and elder care professionals"
"670","Returning to normal life","Guidelines of adaptive measures","Guidelines for re-opening of schools and daycare",""
"671","Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","No handshake in official ceremonies"
"673","Returning to normal life","Conditional re-opening of services","Those that have a close contact with humans","Hairdressers, masseurs, tattoo artists, car driving schools"
"674","Returning to normal life","Guidelines of adaptive measures","Guidelines for re-opening of services",""
"675","Returning to normal life","Guidelines of adaptive measures","Guidelines for re-opening of retail shops and liberal profession",""
"676","Returning to normal life","Soften ban on gathering","Up to 500 persons allowed",""
"677","Case identification, contact tracing and related measures","Surveillance","Implement sentinel study","General population"
"678","Travel restriction","Individual movement restrictions","Stay ban",""
"679","Returning to normal life","Access to healthcare services","Lift suspension of home birth",""
"680","Travel restriction","Cordon sanitaire","One region","Ship in quarantaine for 14 days +"
"681","Case identification, contact tracing and related measures","Enhance detection system","Health screening","Self-screening of the temperature"
"684","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Test and quarantine"
"686","Case identification, contact tracing and related measures","Testing strategy","Targeted testing","passengers  >80 and chronic diseases"
"687","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Mandatory confinement"
"691","Case identification, contact tracing and related measures","Enhance detection system","Extended testing","Testing all passengers"
"692","Case identification, contact tracing and related measures","Enhance detection system","Health screening","questionnaire"
"695","Case identification, contact tracing and related measures","Enhance detection system","Health screening","Questionnaire"
"696","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Crew members"
"698","Returning to normal life","Lift quarantine","Disembarkation of passengers","Start"
"699","Returning to normal life","Lift quarantine","Disembarkation of passengers","End"
"700","Returning to normal life","Lift quarantine","Disembarktion of crew","Start"
"701","Returning to normal life","Lift quarantine","Disembarktion of crew","End"
"704","Resource allocation","Emergency response mechanisms","Risk management plan","Declare health emergency"
"705","Healthcare and public health capacity","Repurpose hospitals","Some hospitals dedicated to covid19 patients",""
"706","Case identification, contact tracing and related measures","Airport health check","Health screening","Medical assistance for people with respiratory symptoms"
"707","Travel restriction","Airport restriction","Cancellation of domestic flights",""
"708","Case identification, contact tracing and related measures","Border health check","",""
"710","Travel restriction","Border restriction","Land borders closed ",""
"715","Risk communication","Educate and actively communicate with the public","Information campaign","Airport, railway station / TV , poster, flyers, radio, social media"
"717","Risk communication","Educate and actively communicate with the public","Answer to questions","Online service covid-19"
"724","Resource allocation","Police and army interventions","In case treatment of patient is compromised",""
"725","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment",""
"728","Environmental measures","Environmental cleaning and disinfection","",""
"730","Travel restriction","Individual movement restrictions","",""
"734","Social distancing","Mass gathering cancellation","Place of worship",""
"736","Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Close long-term care facilities for visitors"
"737","Healthcare and public health capacity","Prevent contamination by body fluids","Precautions for handling and disposal of dead bodies","Compulsory cremation"
"741","Resource allocation","Measures to ensure security of supply","Fixing maximum price for necessity goods","Basic necessities and household gas"
"745","Social distancing","Small gathering cancellation","",""
"746","Case identification, contact tracing and related measures","Specific health channel for travellers","from high-risk areas",""
"747","Travel restriction","Public transport restriction","Public transport ban","Interprovincial"
"748","Case identification, contact tracing and related measures","Surveillance","Implement community-based surveillance",""
"751","Case identification, contact tracing and related measures","Surveillance","Implement sentinel study","At public transport stations"
"752","Environmental measures","Environmental cleaning and disinfection","Metro, public places, malls",""
"754","Resource allocation","Emergency response mechanisms","Risk management plan","Declare National Security Zone"
"759","Environmental measures","Environmental cleaning and disinfection","Markets","Closure and disinfection due to presence of one case"
"760","Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","In public spaces"
"761","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Saturday and Sunday"
"762","Returning to normal life","Reactivate the economy","",""
"763","Healthcare and public health capacity","Increase availability of PPE","Ban export of PPE for healthcae professionals","24 products"
"765","Healthcare and public health capacity","Increase in medical supplies and equipment","Facilitate import","Suppression tariff on import"
"766","Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign fo sneezing/coughing in the elbow"
"769","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea and Italy"
"770","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Iran"
"771","Risk communication","Educate and actively communicate with the public","Information campaign","Airport, ports and borders sanitation to avoid sources of infection"
"772","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Germany and France"
"773","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Spain"
"774","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","From Spain"
"775","Resource allocation","Emergency response mechanisms","Risk management plan","Declare Orange Alert Statement"
"776","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Household quarantine for travellers"
"777","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of kindergartens, primary and secondary schools, universities"
"780","Social distancing","Mass gathering cancellation","Limit up to 500 persons",""
"781","Social distancing","Mass gathering cancellation","Festivals, faith-based events","Concerts"
"783","Environmental measures","Environmental cleaning and disinfection","Airports, ports and borders",""
"785","Healthcare and public health capacity","Increase isolation and quarantine facilities","Enable shelters as containment centers for people who come from countries with potential risk",""
"786","Resource allocation","Emergency response mechanisms","Risk management plan","Declare Red Alert Statement"
"788","Social distancing","Mass gathering cancellation","Limit up to 75 persons",""
"789","Social distancing","Mass gathering cancellation","Closure of discotheques",""
"792","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Elderly, pregnant women"
"793","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Vulnerable people"
"794","Social distancing","Mass gathering cancellation","Indoor activities","Fitness gym"
"797","Travel restriction","Airport restriction","Airports closed","Deny commercial passenger flights, only authorized with cargo and humanitarian aid"
"798","Resource allocation","Crisis management plans","Implement repurpose community services plans","For vulnerable populations"
"799","Case identification, contact tracing and related measures","Isolation of cases","Scale up the sytem","Police intervention"
"800","Travel restriction","Cordon sanitaire","One city","Metapan city"
"801","Social distancing","Mass gathering cancellation","Closure maquila industry and call centers",""
"806","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Closure of public squares and beaches"
"809","Social distancing","Small gathering cancellation","Increase delivery capacity for food products",""
"810","Social distancing","Measures for public transport","Specific measures to avoid congestion","Stricter limits on number of passengers allowed in public transports: Busses"
"813","Resource allocation","Police and army interventions","To enforce social distancing","Sanction if not respected"
"814","Social distancing","Small gathering cancellation","Mandatory home office","By law"
"819","Case identification, contact tracing and related measures","Border health check","Health declaration","Health questionnaire for anyone entering the country at all border crossings, ports and airports."
"820","Travel restriction","Border restriction","Land border controls",""
"825","Social distancing","Closure of educational institutions","Extracurriculars cancelled",""
"827","Travel restriction","Port and ship restriction","Ship transports suspended","Tallinn-Stockholm-Tallinn"
"829","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Contacts and suspected cases"
"832","Social distancing","Mass gathering cancellation","Limit up to 100 persons","Must be postponed"
"835","Social distancing","Measures for special populations","Prisons",""
"836","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China, Italy, Iran, South Korea, certain administrative regions of France, the states of Germany, the Austrian state of Tyrol, Japan, Singapore, and the Madrid, Catalonia and the Basque Country regions of Spain"
"837","Resource allocation","Emergency response mechanisms","Risk management plan","Mobilize other forces: Defence League helps police and border guard to guard the Estonian state border"
"838","Social distancing","Small gathering cancellation","Limit up to 2 persons","Public space"
"840","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Except those whose place of work is located outside the restrictions area"
"844","Resource allocation","Emergency laws","Law to ease the passing of laws","Emergency Powers Act"
"845","Travel restriction","Border restriction","Land border controls","Borders open for goods"
"846","Risk communication","Call for return of nationals living abroad","","Finnish Government calls for all nationals travelling abroad to return to Finland."
"847","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Nanjing and Beijing"
"850","Risk communication","Educate and actively communicate with the public","Information campaign","Coronavirus information points at airports and ports"
"852","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","Launching of a cooperative team with the governement, media and social media influencers to ensure official communication about COVD-19 is reaching all population groups."
"853","Risk communication","Educate and actively communicate with the public","Recommendation for home office","Work from home where possible"
"854","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Advice against travel to Hubei province."
"856","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","All those returning to Finland from travel abroad are told to self-isolate for 14 days."
"858","Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Exceptions will be made to the provisions of the Working Hours Act and the Annual Holidays Act."
"861","Social distancing","Mass gathering cancellation","Cultural events","Theatres, cinemas, concerts, etc., until 13th April"
"862","Social distancing","Mass gathering cancellation","Indoor activities","Hobby and leisure centres, swimming pools and other sports facilities, youth centres, clubs until 13th April"
"863","Social distancing","Mass gathering cancellation","Rehabilitative work facilities","until 13th April"
"867","Travel restriction","Non-essential travels forbidden","Outgoing oversea travel ban",""
"869","Healthcare and public health capacity","Research","Clinical trials on COVID-19","5 million euros"
"871","Social distancing","Small gathering cancellation","Limit up to 10 persons","Until 13th April"
"872","Travel restriction","Cordon sanitaire","One region","Movements to and from the region of Uusimaa will be restricted until 19th April."
"873","Case identification, contact tracing and related measures","Quarantine","Contact persons","Those known to have been in contact with a confirmed COVID-19 case are placed in quarantine."
"875","Social distancing","Closure of educational institutions","Partial closure of educational institutions","3 schools"
"878","Case identification, contact tracing and related measures","Enhance detection system","Search for and/or monitor contacts",""
"879","Resource allocation","Emergency response mechanisms","Risk management plan","ORSAN plan"
"886","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","300 milliard Euros"
"887","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","Cruise ships"
"888","Risk communication","Educate and actively communicate with the public","Answer to questions","Communication with nationales living in China"
"889","Risk communication","Educate and actively communicate with the public","Information campaign","Posters at railway stations"
"890","Risk communication","Educate and actively communicate with the public","Information campaign","Radio and TV"
"891","Risk communication","Educate and actively communicate with the public","Information campaign","Flyers and posters at airports"
"893","Risk communication","Educate and actively communicate with the public","Scale up communication to the public","Broadcasting of radio and television prevention spots"
"894","Risk communication","Actively communicate with healthcare professionals","Provide documentation","Provide documentation"
"895","Resource allocation","Emergency response mechanisms","Risk management plan","White plan in hospitals"
"897","Healthcare and public health capacity","Increase availability of PPE","Face masks","FFP2 masks"
"900","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Attestation on the honor of the person or the employer required"
"902","Healthcare and public health capacity","Enhance laboratory testing","Decrease time between test and result","Development of a rapid diagnostic test enabling a result to be given in a few hours."
"907","Social distancing","Measures for special populations","Measures to limit contact to the elderly",""
"915","Resource allocation","Emergency response mechanisms","Risk management plan","Stage 2 of the plan for the prevention and management of the health crisis"
"916","Resource allocation","Emergency response mechanisms","Risk management plan","Stage 3 of the plan for the prevention and management of the health crisis"
"918","Resource allocation","Measures to ensure security of supply","Fix price for protective equipement","Hand sanitizers"
"919","Social distancing","Mass gathering cancellation","Closure of non-essential public places",""
"923","Case identification, contact tracing and related measures","Specific health channel for travellers","From high-risk areas other than China","Hong Kong and Macao"
"924","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Closure of French coasts"
"925","Healthcare and public health capacity","Increase healthcare workforce","Protect healthcare professionals","Priority distribution of masks to healthcare professionals and medico-social workers"
"926","Social distancing","Mass gathering cancellation","Elections postponed","2nd turn of municipal elections postponed"
"927","Social distancing","Mass gathering cancellation","Open-air markets closed","Open-air markets closed"
"928","Travel restriction","Individual movement restrictions","buffer 1km around home",""
"929","Healthcare and public health capacity","Increase patient capacity","Postponement of medical appointments","Medical appointments restricted to special notice from doctors, or strict emergencies"
"931","Travel restriction","Individual movement restrictions","Ban on sports activities between 10am-7pm",""
"932","Travel restriction","Border restriction","Entry ban for symptomatic people and case contacts",""
"933","Travel restriction","Border restriction","Travel ban to high-risk areas",""
"937","Social distancing","Mass gathering cancellation","Complete prohibition of gathering","Groups of more than 3 people are not allowed to gather"
"940","Social distancing","Mass gathering cancellation","Indoor activities","All"
"944","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","All persons involved in school life (i.e. pupils, teachers and non-teaching staff)"
"946","Social distancing","Mass gathering cancellation","Closure of non-essential public places","libraries, Children playgrounds, leisure places, brothel, tourist bus trips"
"948","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"949","Social distancing","Small gathering cancellation","Limit up to 2 persons","Limit up to 2 persons of different households"
"950","Social distancing","Small gathering cancellation","Limit up to 5 persons","Limit up to 5 persons of different households"
"953","Healthcare and public health capacity","Increase patient capacity","",""
"954","Travel restriction","Border restriction","Land border controls","Austrian border"
"957","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Temporary crisis-related improvement of the regulations for short-time benefits"
"960","Resource allocation","Crisis management plans","Traffic enactments","Suspended driving ban on Sunday for all trucks with goods"
"962","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Vaccination against pneumococci"
"966","Social distancing","Mass gathering cancellation","Complete prohibition of gathering",""
"968","Social distancing","Mass gathering cancellation","Limit up to 75 persons","The government of the state asks the communities to implement this measure"
"971","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Recommendation to reduce contact to long-term care facilities"
"972","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","access to school, kindergarten, and other facilities for children"
"974","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Zoos, sports facilities und children playgrounds."
"977","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Restaurants - Partial"
"981","Resource allocation","Crisis management plans","Implement repurpose community services plans","Prison sentences were or will be suspended in the course of March and these prisoners will be released little by little in order to reduce the risk of infection and to concentrate medical resources in the prison system"
"985","Healthcare and public health capacity","Reduce the burden on health system","Simplification of the health journey","For suspected cases"
"993","Case identification, contact tracing and related measures","Activate case notification","Covid-19 as a notifiable disease","Infection Protection Act"
"994","Risk communication","Actively communicate with stakeholders","Postpone mass gathering","Limit up to 1000"
"995","Risk communication","Actively communicate with stakeholders","Risk assessment for mass gatherings advised by Robert Koch Institute",""
"997","Case identification, contact tracing and related measures","Airport health check","",""
"998","Case identification, contact tracing and related measures","Airport health check","Travellers from China: Questionnaire",""
"1000","Case identification, contact tracing and related measures","Airport health check","Extension of the measure","Extention of the measure from 12/2/2020 to travellers from Iran, Italy, South Korea and Japan"
"1001","Case identification, contact tracing and related measures","Border health check","Test at the border","Asylum seekers"
"1002","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","France, Switzerland, Austria, Luxemburg"
"1003","Travel restriction","Border restriction","Entry ban to refugees","For an indefinite period"
"1004","Travel restriction","Border restriction","Entry ban to non-citizens","Maritime, Airport borders"
"1005","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of kindergartens, other childcare facilities, and schools"
"1008","Risk communication","Educate and actively communicate with the public","Promote hand hygiene","Press conference with federal minister of health and group of experts"
"1009","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Vaccination against influenza"
"1010","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","press conference"
"1016","Risk communication","Educate and actively communicate with the public","Scale up communication to the public",""
"1017","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Advice against travelling to Italy and Nordrhein-Westfalen (Germany)"
"1019","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","vulnerable population"
"1020","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","incoming from Italy, Austria or Switzerland"
"1021","Case identification, contact tracing and related measures","Enhance detection system","Broaden definition / special definition","Broaden definition of cases: Includes also suspected illness"
"1023","Healthcare and public health capacity","Personal protective measures","Enhance hand hygiene","Approval of new hand disinfectant"
"1025","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment","Ordinance BAnz AT 04.03.2020 B1"
"1028","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","people that returned within the last 14 days from high-risk areas"
"1030","Social distancing","Mass gathering cancellation","Cultural events","cinemas"
"1031","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","France , Austria , Luxembourg , Switzerland, Denmark"
"1032","Case identification, contact tracing and related measures","Quarantine","Contact persons","The 100 people who were brought back from Wuhan are quarantined for two weeks"
"1034","Healthcare and public health capacity","Reduce the burden on health system","Promote self-initiated isolation of people with mild respiratory symptoms","Speech of the president of the RKI Lothar Wieler"
"1035","Social distancing","Return operation of nationals","Return operation of national tourists abroad",""
"1037","Resource allocation","Emergency laws","Law to ease the passing of laws","Epidemic emergency of national scope, ordinance authorizations"
"1038","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Call to reservists"
"1040","Social distancing","Mass gathering cancellation","Closure of non-essential public places","barbershop, beauty studios, massage practice, etc"
"1041","Social distancing","Small gathering cancellation","Limit up to 2 persons","Limit up to 3 persons of different households"
"1042","Social distancing","Small gathering cancellation","Small gathering cancellation","Closure of restaurants/bars/cafes"
"1043","Case identification, contact tracing and related measures","Specific health channel for travellers","From high-risk areas","People travelling from China, South Korea, Japan, Iran or Italy by plane should inform the authorities of their whereabouts and how to contact them"
"1044","Risk communication","Travel alert","Worldwide travel warning",""
"1046","Resource allocation","Crisis management plans","Implement repurpose community services plans","prisoners in Hamburg released to make room for isolation of infected inmates"
"1053","Social distancing","Small gathering cancellation","Limit up to 6 persons",""
"1057","Social distancing","Small gathering cancellation","Limit up to 20 persons","Family celebrations only"
"1058","Social distancing","Small gathering cancellation","Remote Psychotherapy Consultation",""
"1061","Risk communication","Actively communicate with stakeholders","Promote hygiene measures and social distancing","restaurants, hotels, libraries"
"1067","Resource allocation","Crisis management plans","Implement repurpose community services plans","state supports childcare if parents are doing essential work (medical staff, essential administrative staff)"
"1075","Social distancing","Mass gathering cancellation","",""
"1077","Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"1078","Travel restriction","Public transport restriction","Reduce rail service",""
"1080","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Children playgrounds"
"1082","Social distancing","Small gathering cancellation","Closure of short-term accomodation",""
"1108","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from China","Thermometer using infrared thermometers"
"1109","Risk communication","Educate and actively communicate with the public","Information campaign","Airport, railway stations, harbours (poster, flyers) radio, social media, governmential homepages "
"1110","Resource allocation","Emergency response mechanisms","Risk management plan","National Council of Public Health"
"1115","Risk communication","Educate and actively communicate with the public","Promote health check if respiratory symptoms","Seek medical attention promptly if you are feeling unwell."
"1117","Risk communication","Educate and actively communicate with the public","Encourage to not shake hands",""
"1119","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Close contacts are isolated"
"1121","Social distancing","Mass gathering cancellation","Festivals, faith-based events","carnival parties cancelled"
"1126","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Extended tracing"
"1127","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Italy"
"1129","Social distancing","Closure of educational institutions","Complete closure of educational institutions","local/regional areas affected by the ""Isreal-return-cases"""
"1130","Social distancing","Mass gathering cancellation","Sport events","visitors excluded"
"1139","Social distancing","Mass gathering cancellation","Outdoor activities","Closure of ski resorts and organized beaches"
"1141","Travel restriction","Cordon sanitaire","",""
"1143","Travel restriction","Border restriction","Land borders closed ","Albania, North Macendonia"
"1144","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Italy, Spain"
"1145","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","from Italy + Spain, and all crusing ships"
"1147","Social distancing","Small gathering cancellation","Limit up to 10 persons","If not respected 1000 Euro penalty"
"1149","Healthcare and public health capacity","Increase healthcare workforce","In the refugee camps",""
"1150","Case identification, contact tracing and related measures","Border health check","Measure temperature","compulsory temperature checking"
"1151","Travel restriction","Cordon sanitaire","One city",""
"1152","Social distancing","Return operation of nationals","Return operation of nationals in regions at risk:  Italy, Spain, Poland, Germany, Morocco, Iraq, Northern Macedonia, Urkraine","Special measure: Quarantine"
"1153","Travel restriction","Non-essential travels forbidden","Greek islands",""
"1156","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Traffic ban (police sanction)"
"1157","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from UK, Turkey"
"1163","Travel restriction","Border restriction","Restricted entry for people from China","China"
"1164","Travel restriction","Border restriction","Restricted entry for people from high-risk areas","Europe, Iran and South Korea"
"1174","Healthcare and public health capacity","Increase in medical supplies and equipment","Respirators, phlegm suctioning devices","For treatment of cases"
"1178","Resource allocation","Crisis management plans","The government provides food assistance",""
"1179","Travel restriction","Airport restriction","Airports closed",""
"1182","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights"
"1184","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Extension"
"1185","Travel restriction","Individual movement restrictions","Segmenting of population",""
"1186","Travel restriction","Individual movement restrictions","Curfew","extension of a total curfew"
"1187","Travel restriction","Individual movement restrictions","Segmenting of population","extension"
"1189","Resource allocation","Emergency response mechanisms","Risk management plan","Virus emergency"
"1193","Risk communication","Actively communicate with stakeholders","Daily press conference",""
"1194","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from Hubei",""
"1195","Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","All incomings"
"1196","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","from Wuhan"
"1199","Case identification, contact tracing and related measures","Airport health check","Quarantine all incoming people with fever",""
"1200","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Hubei"
"1201","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea"
"1202","Case identification, contact tracing and related measures","Border health check","Measure temperature","Travellers from Wuhan"
"1203","Case identification, contact tracing and related measures","Border health check","Test at the border",""
"1204","Case identification, contact tracing and related measures","Border health check","Health certificate requested","Specify country/countries or ""undefined"""
"1205","Case identification, contact tracing and related measures","Border health check","Health declaration",""
"1206","Travel restriction","Border restriction","Entry ban for people from China","Hubei"
"1207","Travel restriction","Border restriction","Entry ban to non-citizens","Coming from all countries except mainland China"
"1213","Travel restriction","Cordon sanitaire","More than one region",""
"1214","Resource allocation","Crisis management plans","Implement repurpose community services plans",""
"1215","Resource allocation","Crisis management plans","Implement repurpose government plans",""
"1217","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","Other than Taiwan and China"
"1218","Risk communication","Educate and actively communicate with the public","Information campaign","Facebook, youtube"
"1219","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","Airports"
"1228","Healthcare and public health capacity","Increase isolation and quarantine facilities","Holiday village converted as quarantine center","Lady MacLehose Holiday Village in Sai Kung"
"1229","Healthcare and public health capacity","Increase isolation and quarantine facilities","Isolation wards","Increase number of beds"
"1230","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase production"
"1231","Healthcare and public health capacity","Increase availability of PPE","PPE for healthcare professionals","import"
"1232","Healthcare and public health capacity","Increase healthcare workforce","Recommend medical staffs come back to their position",""
"1236","Healthcare and public health capacity","Enhance laboratory testing","Decrease time bewteen test and result",""
"1237","Environmental measures","Environmental cleaning and disinfection","Train connect mainland China to Hongkong",""
"1239","Case identification, contact tracing and related measures","Isolation of cases","Wuhan import",""
"1241","Resource allocation","Police and army interventions","To enforce quarantine","Police intervention if quarantine is broken"
"1253","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Provide assistance to the elderly who stay at home"
"1255","Case identification, contact tracing and related measures","Quarantine","Contact persons","Contacts"
"1256","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Wuhan"
"1257","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China other than hubei, extend to other countries on 3/10"
"1270","Case identification, contact tracing and related measures","Surveillance","Use existing respiratory disease surveillance systems and hospital-based surveillance",""
"1271","Case identification, contact tracing and related measures","Surveillance","Implement existing respiratory disease surveillance systems and hospital-based surveillance",""
"1272","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","All travellers from mainland China"
"1273","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","South Korea"
"1275","Travel restriction","Public transport restriction","Train restriction","Train service from high risk place suspend"
"1276","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Wuhan and Hubei"
"1277","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Emilia-Romagna, Lombardy, or Veneto (Italy) and Iran"
"1278","Environmental measures","Environmental cleaning and disinfection","Spa baths",""
"1279","Environmental measures","Environmental cleaning and disinfection","Public transport","More frequent disinfection"
"1280","Social distancing","Measures for public transport","Specific measures to avoid congestion","Access through all doors"
"1281","Social distancing","Measures for special populations","Vulnerable populations","Provide assistance to homeless people"
"1282","Social distancing","Mass gathering cancellation","Cultural events","Theatres, cinemas, concerts, and museums"
"1283","Social distancing","Work safety protocols","In state institutions","City hall"
"1284","Risk communication","Educate and actively communicate with the public","Recommendation for home office","advice by the mayor of Budapest"
