"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"522","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Mandatory confinement"
"526","Case identification, contact tracing and related measures","Enhance detection system","Extended testing","Test and quarantine"
"527","Case identification, contact tracing and related measures","Enhance detection system","Health screening","questionnaire"
"530","Case identification, contact tracing and related measures","Enhance detection system","Health screening","Questionnaire"
"531","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Crew members"
"532","Case identification, contact tracing and related measures","Enhance detection system","Extended testing","Testing all passengers"
"533","Returning to normal life","Lift quarantine","Disembarkation of passengers","Start"
"534","Returning to normal life","Lift quarantine","Disembarkation of passengers","End"
"535","Returning to normal life","Lift quarantine","Disembarktion of crew","Start"
"536","Returning to normal life","Lift quarantine","Disembarktion of crew","End"
"539","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Declare health emergency"
"540","Healthcare and public health capacity","Repurpose hospitals","Some hospitals dedicated to covid19 patients",""
"541","Case identification, contact tracing and related measures","Airport health check","Health screening","Medical assistance for people with respiratory symptoms"
"542","Travel restriction","Airport restriction","Cancellation of domestic flights",""
"543","Case identification, contact tracing and related measures","Border health check","",""
"546","Travel restriction","Border restriction","Land borders closed ",""
"551","Risk communication","Educate and actively communicate with the public","Information campaign","Airport, railway station / TV , poster, flyers, radio, social media"
"553","Risk communication","Educate and actively communicate with the public","Answer to questions","Online service covid-19"
"559","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Set up crisis units: national"
"560","Resource allocation","Police and army interventions","In case treatment of patient is compromised",""
"561","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment",""
"564","Environmental measures","Environmental cleaning and disinfection","",""
"566","Travel restriction","Individual movement restrictions","",""
"570","Social distancing","Mass gathering cancellation","Place of worship",""
"572","Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Close long-term care facilities for visitors"
"573","Healthcare and public health capacity","Prevent contamination by body fluids","Precautions for handling and disposal of dead bodies","Compulsory cremation"
"577","Resource allocation","Measures to ensure security of supply","Fixing maximum price for necessity goods","Basic necessities and household gas"
"581","Social distancing","Small gathering cancellation","",""
"582","Case identification, contact tracing and related measures","Specific health channel for travellers","from high-risk areas",""
"583","Travel restriction","Public transport restriction","Public transport ban","Interprovincial"
"584","Case identification, contact tracing and related measures","Surveillance","Implement community-based surveillance",""
"587","Case identification, contact tracing and related measures","Surveillance","Implement sentinel study","At public transport stations"
"588","Environmental measures","Environmental cleaning and disinfection","Metro, public places, malls",""
"590","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Declare National Security Zone"
"595","Environmental measures","Environmental cleaning and disinfection","Markets","Closure and disinfection due to presence of one case"
"596","Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","In public spaces"
"597","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Saturday and Sunday"
"598","Returning to normal life","Reactivate the economy","",""
"599","Healthcare and public health capacity","Increase availability of PPE","Ban export of PPE for healthcae professionals","24 products"
"601","Healthcare and public health capacity","Increase in medical supplies and equipment","Facilitate import","Suppression tariff on import"
"602","Risk communication","Educate and actively communicate with the public","Advice camping for not touching eyes/nose/mouth","Advice campaign fo sneezing/coughing in the elbow"
"605","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea and Italy"
"606","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Iran"
"607","Risk communication","Educate and actively communicate with the public","Information campaign","Airport, ports and borders sanitation to avoid sources of infection"
"608","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Germany and France"
"609","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Spain"
"610","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","From Spain"
"611","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Declare Orange Alert Statement"
"612","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Household quarantine for travellers"
"613","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of kindergartens, primary and secondary schools, universities"
"616","Social distancing","Mass gathering cancellation","Limit up to 500 persons",""
"617","Social distancing","Mass gathering cancellation","Festivals, faith-based events","Concerts"
"619","Environmental measures","Environmental cleaning and disinfection","Airports, ports and borders",""
"621","Healthcare and public health capacity","Increase isolation and quarantine facilities","Enable shelters as containment centers for people who come from countries with potential risk",""
"622","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Declare Red Alert Statement"
"623","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Declare Emergency state"
"624","Social distancing","Mass gathering cancellation","Limit up to 75 persons",""
"625","Social distancing","Mass gathering cancellation","Closure of discotheques",""
"628","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Elderly, pregnant women"
"629","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Vulnerable people"
"630","Social distancing","Mass gathering cancellation","Indoor activities","Fitness gym"
"633","Travel restriction","Airport restriction","Airports closed","Deny commercial passenger flights, only authorized with cargo and humanitarian aid"
"634","Resource allocation","Crisis management plans","Implement repurpose community services plans","For vulnerable populations"
"635","Case identification, contact tracing and related measures","Isolation of cases","Scale up the sytem","Police intervention"
"636","Travel restriction","Cordon sanitaire","One city","Metapan city"
"637","Social distancing","Mass gathering cancellation","Closure maquila industry and call centers",""
"639","Social distancing","Special measures for certain establishments","Food services","Only delivery"
"642","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Closure of public squares and beaches"
"645","Social distancing","Small gathering cancellation","Increase delivery capacity for food products",""
"646","Social distancing","Measures for public transport","Specific measures to avoid congestion","Stricter limits on number of passengers allowed in public transports: Busses"
"649","Resource allocation","Police and army interventions","To enforce social distancing","Sanction if not respected"
"650","Social distancing","Small gathering cancellation","Mandatory home office","By law"
"655","Case identification, contact tracing and related measures","Border health check","Health declaration","Health questionnaire for anyone entering the country at all border crossings, ports and airports."
"661","Social distancing","Closure of educational institutions","Extracurriculars cancelled",""
"663","Travel restriction","Port and ship restriction","Ship transports suspended","Tallinn-Stockholm-Tallinn"
"665","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","Contacts and suspected cases"
"668","Social distancing","Mass gathering cancellation","Limit up to 100 persons","Must be postponed"
"671","Social distancing","Measures for special populations","Prisons",""
"672","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China, Italy, Iran, South Korea, certain administrative regions of France, the states of Germany, the Austrian state of Tyrol, Japan, Singapore, and the Madrid, Catalonia and the Basque Country regions of Spain"
"673","Resource allocation","Emergency response mechanisms","Scale up emergency response mechanisms","Mobilize other forces: Defence League helps police and border guard to guard the Estonian state border"
"674","Social distancing","Small gathering cancellation","Limit up to 2 persons","Public space"
"676","Travel restriction","Individual movement restrictions","restrictions on freedom of movement on the islands",""
"680","Resource allocation","Emergency response mechanisms","Activate emergency response mechanisms","Decree on emergency state"
"681","Travel restriction","Border restriction","Land border controls","Borders open for goods"
"682","Risk communication","Call for return of nationals living abroad","","Finnish Government calls for all nationals travelling abroad to return to Finland."
"683","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Nanjing and Beijing"
"686","Risk communication","Educate and actively communicate with the public","Information campaign","Coronavirus information points at airports and ports"
"688","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","Launching of a cooperative team with the governement, media and social media influencers to ensure official communication about COVD-19 is reaching all population groups."
"689","Risk communication","Educate and actively communicate with the public","Recommendation for home office","Work from home where possible"
"690","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Advice against travel to Hubei province."
"692","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","All those returning to Finland from travel abroad are told to self-isolate for 14 days."
"694","Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Exceptions will be made to the provisions of the Working Hours Act and the Annual Holidays Act."
"697","Social distancing","Mass gathering cancellation","Cultural events","Theatres, cinemas, concerts, etc., until 13th April"
"698","Social distancing","Mass gathering cancellation","Indoor activities","Hobby and leisure centres, swimming pools and other sports facilities, youth centres, clubs until 13th April"
"699","Social distancing","Mass gathering cancellation","Rehabilitative work facilities","until 13th April"
"703","Travel restriction","Non-essential travels forbidden","Outgoing oversea travel ban",""
"705","Healthcare and public health capacity","Research","Clinical trials on COVID-19","5 million euros"
"707","Social distancing","Small gathering cancellation","Limit up to 10 persons","Until 13th April"
"708","Travel restriction","Cordon sanitaire","One region","Movements to and from the region of Uusimaa will be restricted until 19th April."
"709","Case identification, contact tracing and related measures","Quarantine","Contact persons","Those known to have been in contact with a confirmed COVID-19 case are placed in quarantine."
"711","Social distancing","Closure of educational institutions","Partial closure of educational institutions","3 schools"
"714","Case identification, contact tracing and related measures","Enhance detection system","Search for and/or monitor contacts",""
"715","Resource allocation","Emergency response mechanisms","Activate emergency response mechanisms","ORSAN plan"
"722","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","300 milliard Euros"
"723","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","Cruise ships"
"724","Risk communication","Educate and actively communicate with the public","Answer to questions","Communication with nationales living in China"
"725","Risk communication","Educate and actively communicate with the public","Information campaign","Posters at railway stations"
"726","Risk communication","Educate and actively communicate with the public","Information campaign","Radio and TV"
"727","Risk communication","Educate and actively communicate with the public","Information campaign","Flyers and posters at airports"
"729","Risk communication","Educate and actively communicate with the public","Scale up communication to the public","Broadcasting of radio and television prevention spots"
"730","Risk communication","Actively communicate with healthcare professionals","Provide documentation","Provide documentation"
"731","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","White plan in hospitals"
"733","Healthcare and public health capacity","Increase availability of PPE","Face masks","FFP2 masks"
"736","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Attestation on the honor of the person or the employer required"
"738","Healthcare and public health capacity","Enhance laboratory testing","Decrease time between test and result","Development of a rapid diagnostic test enabling a result to be given in a few hours."
"743","Social distancing","Measures for special populations","Measures to limit contact to the elderly",""
"751","Resource allocation","Emergency response mechanisms","Scale up emergency response mechanisms","Stage 2 of the plan for the prevention and management of the health crisis"
"752","Resource allocation","Emergency response mechanisms","Scale up emergency response mechanisms","Stage 3 of the plan for the prevention and management of the health crisis"
"754","Resource allocation","Measures to ensure security of supply","Fix price for protective equipement","Hand sanitizers"
"755","Social distancing","Mass gathering cancellation","Closure of non-essential public places",""
"759","Case identification, contact tracing and related measures","Specific health channel for travellers","From high-risk areas other than China","Hong Kong and Macao"
"760","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Closure of French coasts"
"761","Healthcare and public health capacity","Increase healthcare workforce","Protect healthcare professionals","Priority distribution of masks to healthcare professionals and medico-social workers"
"762","Social distancing","Mass gathering cancellation","Elections postponed","2nd turn of municipal elections postponed"
"763","Social distancing","Mass gathering cancellation","Open-air markets closed","Open-air markets closed"
"764","Travel restriction","Individual movement restrictions","buffer 1km around home",""
"765","Healthcare and public health capacity","Increase patient capacity","Postponement of medical appointments","Medical appointments restricted to special notice from doctors, or strict emergencies"
"767","Travel restriction","Individual movement restrictions","Ban on sports activities between 10am-7pm",""
"768","Travel restriction","Border restriction","Entry ban for symptomatic people and case contacts",""
"769","Travel restriction","Border restriction","Travel ban to high-risk areas",""
"773","Social distancing","Mass gathering cancellation","Complete prohibition of gathering","Groups of more than 3 people are not allowed to gather"
"776","Social distancing","Mass gathering cancellation","Indoor activities","All"
"780","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","All persons involved in school life (i.e. pupils, teachers and non-teaching staff)"
"782","Social distancing","Mass gathering cancellation","Closure of non-essential public places","libraries, Children playgrounds, leisure places, brothel, tourist bus trips"
"784","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"785","Social distancing","Small gathering cancellation","Limit up to 2 persons","Limit up to 2 persons of different households"
"786","Social distancing","Small gathering cancellation","Limit up to 5 persons","Limit up to 5 persons of different households"
"789","Healthcare and public health capacity","Increase patient capacity","",""
"790","Travel restriction","Border restriction","Land border controls","Austrian border"
"793","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Temporary crisis-related improvement of the regulations for short-time benefits"
"796","Resource allocation","Crisis management plans","Traffic enactments","Suspended driving ban on Sunday for all trucks with goods"
"798","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Vaccination against pneumococci"
"802","Social distancing","Mass gathering cancellation","Complete prohibition of gathering",""
"804","Social distancing","Mass gathering cancellation","Limit up to 75 persons","The government of the state asks the communities to implement this measure"
"807","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Recommendation to reduce contact to long-term care facilities"
"808","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","access to school, kindergarten, and other facilities for children"
"810","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Zoos, sports facilities und children playgrounds."
"813","Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Restaurants - Partial"
"817","Resource allocation","Crisis management plans","Implement repurpose community services plans","Prison sentences were or will be suspended in the course of March and these prisoners will be released little by little in order to reduce the risk of infection and to concentrate medical resources in the prison system"
"821","Healthcare and public health capacity","Reduce the burden on health system","Simplification of the health journey","For suspected cases"
"829","Case identification, contact tracing and related measures","Activate case notification","Covid-19 as a notifiable disease","Infection Protection Act"
"830","Risk communication","Actively communicate with stakeholders","Postpone mass gathering","Limit up to 1000"
"831","Risk communication","Actively communicate with stakeholders","Risk assessment for mass gatherings advised by Robert Koch Institute",""
"833","Case identification, contact tracing and related measures","Airport health check","",""
"834","Case identification, contact tracing and related measures","Airport health check","Travellers from China: Questionnaire",""
"836","Case identification, contact tracing and related measures","Airport health check","Extension of the measure","Extention of the measure from 12/2/2020 to travellers from Iran, Italy, South Korea and Japan"
"837","Case identification, contact tracing and related measures","Border health check","Test at the border","Asylum seekers"
"838","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","France, Switzerland, Austria, Luxemburg"
"839","Travel restriction","Border restriction","Entry ban to refugees","For an indefinite period"
"840","Travel restriction","Border restriction","Entry ban to non-citizens","Maritime, Airport borders"
"841","Social distancing","Closure of educational institutions","Complete closure of educational institutions","Complete closure of kindergartens, other childcare facilities, and schools"
"844","Risk communication","Educate and actively communicate with the public","Encourage hand hygiene","Press conference with federal minister of health and group of experts"
"845","Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Vaccination against influenza"
"846","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","press conference"
"852","Risk communication","Educate and actively communicate with the public","Scale up communication to the public",""
"853","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","Advice against travelling to Italy and Nordrhein-Westfalen (Germany)"
"855","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","vulnerable population"
"856","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","incoming from Italy, Austria or Switzerland"
"857","Case identification, contact tracing and related measures","Enhance detection system","Broaden definition / special definition","Broaden definition of cases: Includes also suspected illness"
"858","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","Set up crisis units: Establishment of a crisis team between the Ministry of Interior and the Ministry of Health was announced"
"859","Healthcare and public health capacity","Personal protective measures","Enhance hand hygiene","Approval of new hand disinfectant"
"861","Healthcare and public health capacity","Increase availability of PPE","Prohibition of export of protective personal equipment","Ordinance BAnz AT 04.03.2020 B1"
"864","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","people that returned within the last 14 days from high-risk areas"
"866","Social distancing","Mass gathering cancellation","Cultural events","cinemas"
"867","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","France , Austria , Luxembourg , Switzerland, Denmark"
"868","Case identification, contact tracing and related measures","Quarantine","Contact persons","The 100 people who were brought back from Wuhan are quarantined for two weeks"
"870","Healthcare and public health capacity","Reduce the burden on health system","Promote self-initiated isolation of people with mild respiratory symptoms","Speech of the president of the RKI Lothar Wieler"
"871","Social distancing","Return operation of nationals","Return operation of national tourists abroad",""
"873","Resource allocation","Emergency laws","Law to ease the passing of laws","Epidemic emergency of national scope, ordinance authorizations"
"874","Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Call to reservists"
"876","Social distancing","Mass gathering cancellation","Closure of non-essential public places","barbershop, beauty studios, massage practice, etc"
"877","Social distancing","Small gathering cancellation","Limit up to 2 persons","Limit up to 3 persons of different households"
"878","Social distancing","Small gathering cancellation","Small gathering cancellation","Closure of restaurants/bars/cafes"
"879","Case identification, contact tracing and related measures","Specific health channel for travellers","From high-risk areas","People travelling from China, South Korea, Japan, Iran or Italy by plane should inform the authorities of their whereabouts and how to contact them"
"880","Risk communication","Travel alert","Worldwide travel warning",""
"882","Resource allocation","Crisis management plans","Implement repurpose community services plans","prisoners in Hamburg released to make room for isolation of infected inmates"
"889","Social distancing","Small gathering cancellation","Limit up to 6 persons",""
"893","Social distancing","Small gathering cancellation","Limit up to 20 persons","Family celebrations only"
"894","Social distancing","Small gathering cancellation","Remote Psychotherapy Consultation",""
"896","Resource allocation","Emergency response mechanisms","Activate emergency response mechanisms",""
"898","Risk communication","Actively communicate with stakeholders","Promote hygiene measures and social distancing","restaurants, hotels, libraries"
"904","Resource allocation","Crisis management plans","Implement repurpose community services plans","state supports childcare if parents are doing essential work (medical staff, essential administrative staff)"
"912","Social distancing","Mass gathering cancellation","",""
"914","Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"915","Travel restriction","Public transport restriction","Reduce rail service",""
"917","Social distancing","Mass gathering cancellation","Closure of non-essential public places","Children playgrounds"
"919","Social distancing","Small gathering cancellation","Closure of short-term accomodation",""
"945","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from China","Thermometer using infrared thermometers"
"946","Risk communication","Educate and actively communicate with the public","Information campaign","Airport, railway stations, harbours (poster, flyers) radio, social media, governmential homepages "
"952","Risk communication","Educate and actively communicate with the public","Promote health check if respiratory symptoms","Seek medical attention promptly if you are feeling unwell."
"954","Risk communication","Educate and actively communicate with the public","Encourage to not shake hands",""
"956","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Close contacts are isolated"
"958","Social distancing","Mass gathering cancellation","Festivals, faith-based events","carnival parties cancelled"
"963","Case identification, contact tracing and related measures","Tracing and tracking","Contact tracing","Extended tracing"
"964","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Italy"
"966","Social distancing","Closure of educational institutions","Complete closure of educational institutions","local/regional areas affected by the ""Isreal-return-cases"""
"967","Social distancing","Mass gathering cancellation","Sport events","visitors excluded"
"976","Social distancing","Mass gathering cancellation","Outdoor activities","Closure of ski resorts and organized beaches"
"978","Travel restriction","Cordon sanitaire","",""
"980","Travel restriction","Border restriction","Land borders closed ","Albania, North Macendonia"
"981","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Italy, Spain"
"982","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","from Italy + Spain, and all crusing ships"
"984","Social distancing","Small gathering cancellation","Limit up to 10 persons","If not respected 1000 Euro penalty"
"986","Healthcare and public health capacity","Increase healthcare workforce","In the refugee camps",""
"987","Case identification, contact tracing and related measures","Border health check","Measure temperature","compulsory temperature checking"
"988","Travel restriction","Cordon sanitaire","One city",""
"989","Social distancing","Return operation of nationals","Return operation of nationals in regions at risk:  Italy, Spain, Poland, Germany, Morocco, Iraq, Northern Macedonia, Urkraine","Special measure: Quarantine"
"990","Travel restriction","Non-essential travels forbidden","Greek islands",""
"993","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Traffic ban (police sanction)"
"994","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from UK, Turkey"
"1000","Travel restriction","Border restriction","Restricted entry for people from China","China"
"1001","Travel restriction","Border restriction","Restricted entry for people from high-risk areas","Europe, Iran and South Korea"
"1011","Healthcare and public health capacity","Increase in medical supplies and equipment","Respirators, phlegm suctioning devices","For treatment of cases"
"1015","Resource allocation","Crisis management plans","The government provides food assistance",""
"1016","Travel restriction","Airport restriction","Airports closed",""
"1019","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights"
"1021","Travel restriction","Individual movement restrictions","Non-essential movements forbidden","Extension"
"1022","Travel restriction","Individual movement restrictions","Segmenting of population",""
"1023","Travel restriction","Individual movement restrictions","Curfew","extension of a total curfew"
"1024","Travel restriction","Individual movement restrictions","Segmenting of population","extension"
"1030","Risk communication","Actively communicate with stakeholders","Daily press conference",""
"1031","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from Hubei",""
"1032","Case identification, contact tracing and related measures","Airport health check","Test travellers with fever or symptoms","All incomings"
"1033","Case identification, contact tracing and related measures","Airport health check","Health certificate requested","from Wuhan"
"1036","Case identification, contact tracing and related measures","Airport health check","Quarantine all incoming people with fever",""
"1037","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from Hubei"
"1038","Travel restriction","Airport restriction","Landing bans on aircrafts from high risk areas","Aircrafts from South Korea"
"1039","Case identification, contact tracing and related measures","Border health check","Measure temperature","Travellers from Wuhan"
"1040","Case identification, contact tracing and related measures","Border health check","Test at the border",""
"1041","Case identification, contact tracing and related measures","Border health check","Health certificate requested","Specify country/countries or ""undefined"""
"1042","Case identification, contact tracing and related measures","Border health check","Health declaration",""
"1043","Travel restriction","Border restriction","Entry ban for people from China","Hubei"
"1044","Travel restriction","Border restriction","Entry ban to non-citizens","Coming from all countries except mainland China"
"1050","Travel restriction","Cordon sanitaire","More than one region",""
"1051","Resource allocation","Crisis management plans","Implement repurpose community services plans",""
"1052","Resource allocation","Crisis management plans","Implement repurpose government plans",""
"1054","Travel restriction","Port and ship restriction","Deny entry to boats with more than 100 passengers","Other than Taiwan and China"
"1055","Risk communication","Educate and actively communicate with the public","Information campaign","Facebook, youtube"
"1056","Risk communication","Educate and actively communicate with the public","Enhance communication to the public","Airports"
"1065","Healthcare and public health capacity","Increase isolation and quarantine facilities","Holiday village converted as quarantine center","Lady MacLehose Holiday Village in Sai Kung"
"1066","Healthcare and public health capacity","Increase isolation and quarantine facilities","Isolation wards","Increase number of beds"
"1067","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase production"
"1068","Healthcare and public health capacity","Increase availability of PPE","PPE for healthcare professionals","import"
"1069","Healthcare and public health capacity","Increase healthcare workforce","Recommend medical staffs come back to their position",""
"1073","Healthcare and public health capacity","Enhance laboratory testing","Decrease time bewteen test and result",""
"1074","Environmental measures","Environmental cleaning and disinfection","Train connect mainland China to Hongkong",""
"1076","Case identification, contact tracing and related measures","Isolation of cases","Wuhan import",""
"1078","Resource allocation","Police and army interventions","To enforce quarantine","Police intervention if quarantine is broken"
"1090","Social distancing","Measures for special populations","Measures to limit contact to the elderly","Provide assistance to the elderly who stay at home"
"1092","Case identification, contact tracing and related measures","Quarantine","Contact persons","Contacts"
"1093","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Wuhan"
"1094","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","China other than hubei, extend to other countries on 3/10"
"1106","Case identification, contact tracing and related measures","Surveillance","Implement sentinel study",""
"1107","Case identification, contact tracing and related measures","Surveillance","Use existing respiratory disease surveillance systems and hospital-based surveillance",""
"1108","Case identification, contact tracing and related measures","Surveillance","Implement existing respiratory disease surveillance systems and hospital-based surveillance",""
"1110","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","All travellers from mainland China"
"1111","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","South Korea"
"1113","Travel restriction","Public transport restriction","Train restriction","Train service from high risk place suspend"
"1114","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Wuhan and Hubei"
"1115","Case identification, contact tracing and related measures","Quarantine","All incomings from high-risk areas","Emilia-Romagna, Lombardy, or Veneto (Italy) and Iran"
"1116","Environmental measures","Environmental cleaning and disinfection","Spa baths",""
"1117","Environmental measures","Environmental cleaning and disinfection","Public transport","More frequent disinfection"
"1118","Social distancing","Measures for public transport","Specific measures to avoid congestion","Access through all doors"
"1119","Social distancing","Measures for special populations","Vulnerable populations","Provide assistance to homeless people"
"1120","Social distancing","Mass gathering cancellation","Cultural events","Theatres, cinemas, concerts, and museums"
"1121","Social distancing","Work safety protocols","In state institutions","City hall"
"1122","Risk communication","Educate and actively communicate with the public","Recommendation for home office","advice by the mayor of Budapest"
"1123","Social distancing","Special measures for certain establishments","City hall","customer service restricted to online customer portal, e-mail, or post"
"1124","Social distancing","Mass gathering cancellation","Closure of non-essential public places","baths, zoo"
"1125","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","bus/tram drivers"
"1128","Social distancing","Mass gathering cancellation","Closure of non-essential public places","children playgrounds"
"1129","Risk communication","Educate and actively communicate with the public","Information campaign","Public transport, billboards at stations, posters"
"1130","Social distancing","Special measures for certain establishments","Public utility companies","customer service restricted to online and telephone calls"
"1131","Risk communication","Educate and actively communicate with the public","Communication targets protection of special populations","social media, telephone calls, posters, voice message on the phone from the mayor "
"1132","Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","rent discount to small and medium-sized enterprises (SME) who are the tenants of the Municipality of Budapest"
"1135","Healthcare and public health capacity","Reduce the burden on health system","Promote self-initiated isolation of people with mild respiratory symptoms","Call doctor"
"1138","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","especially toward elderly and vulnerable"
"1140","Risk communication","Educate and actively communicate with the public","Encourage self-initiated quarantine","elderly"
"1141","Risk communication","Educate and actively communicate with the public","Use of public transport","Discourage use of public transport, price of city bike rental decreased"
"1143","Risk communication","Educate and actively communicate with the public","Recommendation for cashless operations","Recommendation to purchase a public transport ticket via smartphone app"
"1144","Risk communication","Educate and actively communicate with the public","Encourage donation for covid19 crisis","Blood donations"
"1145","Risk communication","Educate and actively communicate with the public","Answer to questions","Official webpage with COVID-19 information"
"1146","Risk communication","Educate and actively communicate with the public","Promote the 2m distance","when standing in line or shopping"
"1147","Resource allocation","Crisis management plans","",""
"1148","Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Provide PPE"
"1149","Risk communication","Educate and actively communicate with the public","Recommendation for cashless operations","Payment with touch credit card"
"1150","Social distancing","Special measures for certain establishments","Implement the 2m distance","Stickers on the floor of supermarkets"
"1151","Social distancing","Measures for public transport","Increase service","To avoid congestion"
"1152","Healthcare and public health capacity","Increase healthcare workforce","Ease transport of health workers",""
"1153","Risk communication","Educate and actively communicate with the public","Information campaign","Airport posters"
"1154","Healthcare and public health capacity","Personal protective measures","Enhance hand hygiene","Hand sanitizers in airports"
"1156","Healthcare and public health capacity","Increase availability of PPE","Face masks","Increase production of masks"
"1160","Risk communication","Educate and actively communicate with the public","Warning against travel to and return from risk areas","North Italy"
"1161","Travel restriction","Border restriction","Entry ban to refugees","The admission of immigrants is suspended indefinitely."
"1163","Risk communication","Educate and actively communicate with the public","Information campaign","Government on social media"
"1164","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Visas are no longer issued for Iranian citizens"
"1166","Case identification, contact tracing and related measures","Airport health check","Measure temperature for passengers from high-risk areas other than China","Northern Italy"
"1167","Healthcare and public health capacity","Repurpose hospitals","Some hospitals dedicated to covid19 patients","South Pest Central Hospital is freed"
"1168","Social distancing","Mass gathering cancellation","Festivals, faith-based events","one festival"
"1172","Risk communication","Educate and actively communicate with the public","Communication targets protection of special populations","Measures to limit contact to the elderly"
"1173","Risk communication","Educate and actively communicate with the public","Recommendation to reduce contact to hospital patients",""
"1174","Travel restriction","Airport restriction","Cancellation of international flights","Partial cancellation of international flights: Northern Italy and Israel"
"1175","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Iranian citizens"
